,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Albany (NY),America East,East,1.0,1.0,0.0,1.0,32.0,24.0,8.0,197.0,547.0,0.360146252285192,487.0,640.0,0.7609375,1076.0,924.0,152.0,320.0,334.0,374.0,0.893048128342246,313.0,0.0,1.0,2096.0,65.5,1927.0,60.2,169.0,5.3
1,Arizona,Pac-12,West,0.0,1.0,3.0,1.0,34.0,31.0,3.0,172.0,478.0,0.359832635983264,611.0,874.0,0.69908466819222,1266.0,968.0,298.0,368.0,483.0,381.0,1.26771653543307,38.0,3.0,0.0,2599.0,76.4,1993.0,58.6,606.0,17.8
2,Arkansas,Southeastern,West,0.0,0.0,1.0,0.0,34.0,26.0,8.0,227.0,648.0,0.350308641975309,562.0,776.0,0.724226804123711,1216.0,1202.0,14.0,442.0,549.0,399.0,1.37593984962406,41.0,1.0,3.0,2653.0,78.0,2385.0,70.1,268.0,7.90000000000001
3,Baylor,Big 12,West,0.0,0.0,0.0,1.0,33.0,24.0,9.0,229.0,607.0,0.377265238879736,476.0,710.0,0.670422535211268,1293.0,1030.0,263.0,485.0,483.0,413.0,1.16949152542373,3.0,6.0,4.0,2293.0,69.5,1991.0,60.3,302.0,9.2
4,Belmont,OVC,East,1.0,1.0,0.0,0.0,32.0,22.0,10.0,321.0,841.0,0.381688466111772,400.0,579.0,0.690846286701209,1064.0,1045.0,19.0,301.0,492.0,439.0,1.12072892938497,263.0,0.0,1.0,2383.0,74.5,2251.0,70.3,132.0,4.2
5,Boise St.,Mountain West,East,1.0,0.0,0.0,0.0,33.0,25.0,8.0,291.0,738.0,0.394308943089431,426.0,581.0,0.733218588640275,1086.0,1005.0,81.0,286.0,399.0,339.0,1.17699115044248,130.0,0.0,1.0,2335.0,70.8,1989.0,60.3,346.0,10.5
6,Buffalo,Mid-American,Midwest,1.0,1.0,0.0,0.0,32.0,23.0,9.0,193.0,567.0,0.340388007054674,573.0,794.0,0.721662468513854,1230.0,1132.0,98.0,412.0,421.0,361.0,1.16620498614958,67.0,0.0,2.0,2400.0,75.0,2185.0,68.3,215.0,6.7
7,Butler,Big East,Midwest,0.0,0.0,1.0,0.0,32.0,22.0,10.0,184.0,514.0,0.357976653696498,488.0,718.0,0.67966573816156,1175.0,968.0,207.0,390.0,368.0,364.0,1.01098901098901,44.0,3.0,6.0,2226.0,69.6,1958.0,61.2,268.0,8.39999999999999
8,BYU,West Coast,West,1.0,0.0,0.0,1.0,34.0,25.0,9.0,285.0,734.0,0.388283378746594,660.0,859.0,0.768335273573923,1310.0,1142.0,168.0,415.0,572.0,402.0,1.4228855721393,75.0,1.0,3.0,2841.0,83.6,2467.0,72.6,374.0,11.0
9,Cincinnati,AAC,Midwest,0.0,0.0,1.0,1.0,32.0,22.0,10.0,161.0,483.0,0.333333333333333,403.0,598.0,0.673913043478261,1095.0,936.0,159.0,351.0,380.0,409.0,0.929095354523227,56.0,2.0,1.0,1996.0,62.4,1769.0,55.3,227.0,7.1
