,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Arizona,Pac-12,West,0.0,1.0,2.0,1.0,34.0,30.0,4.0,229.0,576.0,0.397569444444444,582.0,768.0,0.7578125,1250.0,1018.0,232.0,350.0,469.0,389.0,1.20565552699229,24.0,3.0,4.0,2593.0,76.3,2225.0,65.4,368.0,10.9
1,Arkansas,Southeastern,South,0.0,0.0,1.0,0.0,34.0,25.0,9.0,222.0,610.0,0.363934426229508,605.0,794.0,0.761964735516373,1233.0,1229.0,4.0,385.0,479.0,399.0,1.20050125313283,58.0,0.0,5.0,2713.0,79.8,2516.0,74.0,197.0,5.8
2,Baylor,Big 12,East,0.0,0.0,2.0,1.0,32.0,25.0,7.0,216.0,601.0,0.359400998336107,435.0,607.0,0.7166392092257,1217.0,931.0,286.0,412.0,502.0,429.0,1.17016317016317,5.0,5.0,4.0,2327.0,72.7,2007.0,62.7,320.0,10.0
3,Bucknell,Patriot,West,1.0,1.0,0.0,0.0,34.0,26.0,8.0,277.0,734.0,0.377384196185286,480.0,707.0,0.678925035360679,1171.0,1133.0,38.0,293.0,497.0,451.0,1.1019955654102,213.0,0.0,1.0,2587.0,76.1,2290.0,67.4,297.0,8.69999999999999
4,Butler,Big East,South,0.0,0.0,2.0,1.0,31.0,23.0,8.0,237.0,652.0,0.363496932515337,466.0,630.0,0.73968253968254,993.0,974.0,19.0,272.0,409.0,315.0,1.2984126984127,13.0,4.0,0.0,2365.0,76.3,2120.0,68.4,245.0,7.89999999999999
5,Cincinnati,AAC,South,0.0,0.0,1.0,1.0,34.0,29.0,5.0,252.0,734.0,0.343324250681199,448.0,656.0,0.682926829268293,1264.0,1111.0,153.0,421.0,538.0,340.0,1.58235294117647,66.0,2.0,3.0,2532.0,74.5,2068.0,60.8,464.0,13.7
6,Creighton,Big East,Midwest,0.0,0.0,0.0,0.0,34.0,25.0,9.0,297.0,744.0,0.399193548387097,391.0,573.0,0.682373472949389,1186.0,1219.0,-33.0,278.0,587.0,424.0,1.38443396226415,50.0,2.0,3.0,2792.0,82.1,2465.0,72.5,327.0,9.59999999999999
7,Dayton,Atlantic 10,South,0.0,0.0,0.0,1.0,31.0,24.0,7.0,251.0,649.0,0.386748844375963,515.0,748.0,0.688502673796791,1068.0,1062.0,6.0,267.0,489.0,370.0,1.32162162162162,71.0,1.0,2.0,2370.0,76.5,2062.0,66.5,308.0,10.0
8,Duke,Atlantic Coast,East,0.0,1.0,1.0,1.0,35.0,27.0,8.0,288.0,766.0,0.37597911227154,599.0,790.0,0.758227848101266,1271.0,1171.0,100.0,366.0,458.0,395.0,1.15949367088608,9.0,8.0,4.0,2823.0,80.7,2444.0,69.8,379.0,10.9
9,ETSU,Southern,East,1.0,1.0,0.0,0.0,34.0,27.0,7.0,256.0,669.0,0.382660687593423,591.0,840.0,0.703571428571429,1237.0,1086.0,151.0,344.0,504.0,502.0,1.00398406374502,209.0,0.0,0.0,2717.0,79.9,2358.0,69.4,359.0,10.5
10,FGCU,ASUN,West,1.0,1.0,0.0,1.0,33.0,26.0,7.0,213.0,608.0,0.350328947368421,452.0,644.0,0.701863354037267,1243.0,1039.0,204.0,372.0,509.0,410.0,1.24146341463415,269.0,0.0,2.0,2621.0,79.4,2270.0,68.8,351.0,10.6
11,Florida,Southeastern,East,0.0,0.0,3.0,0.0,32.0,24.0,8.0,248.0,685.0,0.362043795620438,555.0,764.0,0.726439790575916,1195.0,1132.0,63.0,370.0,404.0,378.0,1.06878306878307,8.0,1.0,4.0,2505.0,78.3,2130.0,66.6,375.0,11.7
12,Florida St.,Atlantic Coast,West,0.0,0.0,1.0,0.0,33.0,25.0,8.0,227.0,637.0,0.356357927786499,530.0,766.0,0.691906005221932,1245.0,1128.0,117.0,389.0,485.0,390.0,1.24358974358974,20.0,6.0,4.0,2721.0,82.5,2352.0,71.3,369.0,11.2
13,Gonzaga,West Coast,West,0.0,1.0,5.0,1.0,33.0,32.0,1.0,241.0,631.0,0.381933438985737,546.0,740.0,0.737837837837838,1330.0,1073.0,257.0,309.0,529.0,373.0,1.41823056300268,102.0,6.0,0.0,2791.0,84.6,2018.0,61.2,773.0,23.4
14,Iona,Metro Atlantic,Midwest,1.0,1.0,0.0,1.0,34.0,22.0,12.0,332.0,836.0,0.397129186602871,502.0,652.0,0.769938650306748,1223.0,1300.0,-77.0,325.0,531.0,411.0,1.29197080291971,174.0,0.0,1.0,2736.0,80.5,2596.0,76.4,140.0,4.09999999999999
15,Iowa St.,Big 12,Midwest,0.0,1.0,1.0,1.0,33.0,23.0,10.0,329.0,818.0,0.402200488997555,398.0,572.0,0.695804195804196,1153.0,1272.0,-119.0,308.0,522.0,335.0,1.55820895522388,28.0,3.0,6.0,2669.0,80.9,2376.0,72.0,293.0,8.90000000000001
16,Jacksonville St.,OVC,Midwest,1.0,1.0,0.0,0.0,34.0,20.0,14.0,248.0,666.0,0.372372372372372,455.0,639.0,0.712050078247261,1221.0,1080.0,141.0,351.0,479.0,463.0,1.03455723542117,244.0,0.0,0.0,2371.0,69.7,2300.0,67.6,71.0,2.10000000000001
