,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Albany (NY),America East,South,1.0,1.0,0.0,1.0,32.0,18.0,14.0,157.0,431.0,0.364269141531323,520.0,695.0,0.748201438848921,1106.0,1009.0,97.0,331.0,354.0,404.0,0.876237623762376,287.0,0.0,0.0,2113.0,66.0,2043.0,63.8,70.0,2.2
1,American,Patriot,West,1.0,1.0,0.0,0.0,32.0,20.0,12.0,203.0,531.0,0.382297551789077,369.0,520.0,0.709615384615385,962.0,931.0,31.0,228.0,484.0,447.0,1.082774049217,234.0,0.0,1.0,2046.0,63.9,1876.0,58.6,170.0,5.3
2,Arizona,Pac-12,West,0.0,0.0,3.0,1.0,34.0,30.0,4.0,180.0,505.0,0.356435643564356,520.0,794.0,0.654911838790932,1322.0,1035.0,287.0,428.0,513.0,355.0,1.44507042253521,5.0,4.0,1.0,2484.0,73.1,1977.0,58.1,507.0,15.0
3,Arizona St.,Pac-12,Midwest,1.0,0.0,0.0,0.0,32.0,21.0,11.0,260.0,673.0,0.386329866270431,523.0,754.0,0.693633952254642,1140.0,1221.0,-81.0,270.0,454.0,367.0,1.23705722070845,58.0,1.0,3.0,2401.0,75.0,2204.0,68.9,197.0,6.09999999999999
4,Baylor,Big 12,West,0.0,0.0,2.0,0.0,35.0,24.0,11.0,265.0,679.0,0.390279823269514,579.0,860.0,0.673255813953488,1354.0,1114.0,240.0,500.0,525.0,414.0,1.26811594202899,10.0,2.0,5.0,2632.0,75.2,2393.0,68.4,239.0,6.8
5,BYU,West Coast,West,1.0,0.0,0.0,0.0,34.0,23.0,11.0,172.0,479.0,0.359081419624217,707.0,1025.0,0.689756097560976,1400.0,1216.0,184.0,451.0,530.0,386.0,1.37305699481865,17.0,1.0,5.0,2863.0,84.2,2619.0,77.0,244.0,7.2
6,Cal Poly,Big West,Midwest,1.0,1.0,0.0,0.0,32.0,13.0,19.0,207.0,611.0,0.338788870703764,390.0,563.0,0.692717584369449,1034.0,1077.0,-43.0,354.0,374.0,287.0,1.30313588850174,124.0,0.0,1.0,2023.0,63.2,2030.0,63.4,-7.0,-0.199999999999996
7,Cincinnati,AAC,East,0.0,0.0,0.0,1.0,33.0,27.0,6.0,192.0,573.0,0.335078534031414,508.0,717.0,0.708507670850767,1190.0,1045.0,145.0,441.0,420.0,366.0,1.14754098360656,74.0,2.0,4.0,2268.0,68.7,1925.0,58.3,343.0,10.4
8,Coastal Caro.,Big South,East,1.0,1.0,0.0,0.0,33.0,21.0,12.0,203.0,609.0,0.333333333333333,516.0,744.0,0.693548387096774,1308.0,1147.0,161.0,429.0,349.0,465.0,0.750537634408602,291.0,0.0,0.0,2399.0,72.7,2256.0,68.4,143.0,4.3
9,Colorado,Pac-12,South,0.0,0.0,0.0,1.0,34.0,23.0,11.0,177.0,553.0,0.320072332730561,634.0,885.0,0.71638418079096,1276.0,1065.0,211.0,394.0,392.0,449.0,0.873051224944321,13.0,1.0,5.0,2409.0,70.9,2310.0,67.9,99.0,3.0
10,Creighton,Big East,West,0.0,0.0,1.0,1.0,33.0,26.0,7.0,342.0,812.0,0.421182266009852,469.0,624.0,0.751602564102564,1134.0,1044.0,90.0,279.0,585.0,328.0,1.78353658536585,30.0,2.0,1.0,2625.0,79.5,2225.0,67.4,400.0,12.1
11,Dayton,Atlantic 10,South,1.0,0.0,3.0,0.0,33.0,23.0,10.0,217.0,574.0,0.378048780487805,511.0,750.0,0.681333333333333,1165.0,1027.0,138.0,384.0,431.0,396.0,1.08838383838384,52.0,2.0,1.0,2422.0,73.4,2232.0,67.6,190.0,5.80000000000001
12,Delaware,Colonial,East,1.0,1.0,0.0,0.0,34.0,25.0,9.0,244.0,707.0,0.345120226308345,628.0,886.0,0.708803611738149,1240.0,1323.0,-83.0,378.0,370.0,326.0,1.13496932515337,218.0,0.0,2.0,2704.0,79.5,2555.0,75.1,149.0,4.40000000000001
13,Duke,Atlantic Coast,Midwest,0.0,0.0,0.0,1.0,33.0,26.0,8.0,293.0,750.0,0.390666666666667,552.0,759.0,0.727272727272727,1138.0,1071.0,67.0,394.0,481.0,316.0,1.52215189873418,6.0,5.0,5.0,2611.0,79.1,2209.0,66.9,402.0,12.2
14,Eastern Ky.,OVC,South,1.0,1.0,0.0,0.0,33.0,24.0,9.0,303.0,776.0,0.390463917525773,587.0,782.0,0.750639386189258,865.0,1067.0,-202.0,235.0,484.0,352.0,1.375,237.0,0.0,2.0,2608.0,79.0,2331.0,70.6,277.0,8.40000000000001
15,Florida,Southeastern,South,0.0,1.0,4.0,1.0,34.0,32.0,2.0,233.0,633.0,0.368088467614534,514.0,778.0,0.660668380462725,1213.0,1049.0,164.0,397.0,454.0,385.0,1.17922077922078,22.0,4.0,2.0,2405.0,70.7,1970.0,57.9,435.0,12.8
16,George Washington,Atlantic 10,East,1.0,0.0,0.0,0.0,32.0,24.0,8.0,185.0,502.0,0.368525896414343,536.0,820.0,0.653658536585366,1196.0,1077.0,119.0,378.0,453.0,418.0,1.08373205741627,80.0,3.0,3.0,2349.0,73.4,2140.0,66.9,209.0,6.5
17,Gonzaga,West Coast,West,0.0,1.0,1.0,1.0,34.0,28.0,6.0,240.0,609.0,0.394088669950739,525.0,739.0,0.71041948579161,1215.0,1110.0,105.0,325.0,499.0,383.0,1.30287206266319,100.0,0.0,0.0,2615.0,76.9,2211.0,65.0,404.0,11.9
