,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
10,Gonzaga,West Coast,Midwest,1.0,1.0,2.0,1.0,33.0,26.0,7.0,258.0,682.0,0.378299120234604,514.0,676.0,0.760355029585799,1307.0,1067.0,240.0,350.0,458.0,372.0,1.23118279569892,125.0,0.0,2.0,2630.0,79.7,2186.0,66.2,444.0,13.4545454545455
11,Kentucky,Southeastern,East,0.0,1.0,1.0,1.0,34.0,26.0,8.0,236.0,637.0,0.370486656200942,531.0,777.0,0.683397683397683,1318.0,1133.0,185.0,442.0,490.0,376.0,1.3031914893617,30.0,3.0,2.0,2709.0,79.7,2321.0,68.3,388.0,11.4117647058824
12,California,Pac-12,South,0.0,0.0,0.0,0.0,33.0,23.0,10.0,233.0,632.0,0.368670886075949,512.0,780.0,0.656410256410256,1319.0,1097.0,222.0,374.0,428.0,403.0,1.06203473945409,14.0,2.0,4.0,2479.0,75.1,2212.0,67.0,267.0,8.09090909090909
13,Vanderbilt,Southeastern,South,1.0,0.0,0.0,0.0,32.0,19.0,13.0,270.0,695.0,0.388489208633094,504.0,721.0,0.699029126213592,1234.0,1192.0,42.0,304.0,478.0,374.0,1.27807486631016,44.0,2.0,6.0,2456.0,76.8,2155.0,67.3,301.0,9.40625
14,Green Bay,Horizon,West,1.0,1.0,0.0,0.0,35.0,23.0,12.0,246.0,703.0,0.349928876244666,648.0,984.0,0.658536585365854,1360.0,1412.0,-52.0,451.0,486.0,423.0,1.14893617021277,239.0,0.0,0.0,2948.0,84.2,2788.0,79.7,160.0,4.57142857142857
15,Weber St.,Big Sky,East,1.0,1.0,0.0,0.0,34.0,26.0,8.0,287.0,768.0,0.373697916666667,548.0,810.0,0.676543209876543,1275.0,1127.0,148.0,291.0,472.0,451.0,1.04656319290466,312.0,0.0,0.0,2609.0,76.7,2273.0,66.9,336.0,9.88235294117647
16,Xavier,Big East,East,0.0,0.0,1.0,1.0,32.0,27.0,5.0,243.0,672.0,0.361607142857143,608.0,832.0,0.730769230769231,1312.0,1072.0,240.0,418.0,524.0,408.0,1.2843137254902,47.0,3.0,3.0,2603.0,81.3,2273.0,71.0,330.0,10.3125
17,FGCU,ASUN,East,1.0,1.0,0.0,0.0,33.0,20.0,13.0,176.0,493.0,0.356997971602434,466.0,720.0,0.647222222222222,1327.0,1161.0,166.0,392.0,446.0,406.0,1.09852216748768,299.0,0.0,1.0,2540.0,77.0,2325.0,70.5,215.0,6.51515151515152
18,Middle Tenn.,Conference USA,Midwest,1.0,1.0,1.0,0.0,33.0,24.0,9.0,260.0,673.0,0.386329866270431,425.0,689.0,0.616835994194485,1220.0,1146.0,74.0,341.0,431.0,399.0,1.08020050125313,145.0,0.0,0.0,2399.0,72.7,2254.0,68.3,145.0,4.39393939393939
19,Stony Brook,America East,East,1.0,1.0,0.0,0.0,32.0,26.0,6.0,217.0,584.0,0.371575342465753,415.0,618.0,0.671521035598705,1266.0,1014.0,252.0,401.0,531.0,365.0,1.45479452054795,228.0,0.0,0.0,2458.0,76.8,2030.0,63.4,428.0,13.375
20,Seton Hall,Big East,Midwest,0.0,1.0,0.0,0.0,33.0,25.0,8.0,202.0,573.0,0.352530541012216,524.0,787.0,0.66581956797967,1321.0,1185.0,136.0,425.0,447.0,457.0,0.978118161925602,56.0,3.0,3.0,2470.0,74.8,2237.0,67.8,233.0,7.06060606060606
21,Duke,Atlantic Coast,West,0.0,0.0,2.0,1.0,33.0,23.0,10.0,306.0,791.0,0.38685208596713,572.0,792.0,0.722222222222222,1199.0,1204.0,-5.0,404.0,445.0,326.0,1.36503067484663,10.0,4.0,5.0,2688.0,81.5,2378.0,72.1,310.0,9.39393939393939
22,Texas A&M,Southeastern,West,0.0,0.0,2.0,0.0,34.0,26.0,8.0,261.0,745.0,0.350335570469799,508.0,755.0,0.672847682119205,1323.0,1191.0,132.0,436.0,574.0,401.0,1.43142144638404,63.0,3.0,1.0,2581.0,75.9,2228.0,65.5,353.0,10.3823529411765
23,Utah,Pac-12,Midwest,0.0,0.0,1.0,1.0,34.0,26.0,8.0,259.0,713.0,0.363253856942497,524.0,734.0,0.713896457765668,1270.0,1118.0,152.0,328.0,532.0,418.0,1.27272727272727,7.0,3.0,5.0,2639.0,77.6,2351.0,69.1,288.0,8.47058823529412
24,Iowa,Big Ten,South,0.0,0.0,1.0,1.0,31.0,21.0,10.0,255.0,667.0,0.382308845577211,456.0,634.0,0.719242902208202,1190.0,1148.0,42.0,369.0,496.0,323.0,1.53560371517028,32.0,4.0,5.0,2421.0,78.1,2130.0,68.7,291.0,9.38709677419355
25,Baylor,Big 12,West,0.0,0.0,0.0,1.0,33.0,22.0,11.0,204.0,556.0,0.366906474820144,536.0,737.0,0.727272727272727,1234.0,972.0,262.0,453.0,587.0,425.0,1.38117647058824,3.0,2.0,9.0,2546.0,77.2,2285.0,69.2,261.0,7.90909090909091
26,VCU,Atlantic 10,West,1.0,0.0,1.0,1.0,34.0,24.0,10.0,247.0,694.0,0.355907780979827,472.0,684.0,0.690058479532164,1270.0,1179.0,91.0,425.0,488.0,389.0,1.25449871465296,67.0,1.0,3.0,2625.0,77.2,2288.0,67.3,337.0,9.91176470588235
27,Buffalo,Mid-American,South,1.0,1.0,0.0,1.0,34.0,20.0,14.0,253.0,750.0,0.337333333333333,600.0,845.0,0.710059171597633,1330.0,1229.0,101.0,417.0,433.0,465.0,0.931182795698925,83.0,0.0,3.0,2637.0,77.6,2555.0,75.1,82.0,2.41176470588235
28,UConn,AAC,South,1.0,1.0,1.0,0.0,34.0,24.0,10.0,239.0,660.0,0.362121212121212,457.0,581.0,0.78657487091222,1242.0,1164.0,78.0,322.0,471.0,378.0,1.24603174603175,48.0,1.0,2.0,2496.0,73.4,2145.0,63.1,351.0,10.3235294117647
29,Austin Peay,OVC,South,1.0,1.0,0.0,0.0,35.0,18.0,17.0,219.0,630.0,0.347619047619048,602.0,899.0,0.669632925472747,1289.0,1195.0,94.0,407.0,473.0,490.0,0.96530612244898,188.0,0.0,1.0,2661.0,76.0,2656.0,75.9,5.0,0.142857142857143
30,North Carolina,Atlantic Coast,East,0.0,1.0,5.0,1.0,34.0,28.0,6.0,183.0,583.0,0.313893653516295,520.0,705.0,0.737588652482269,1393.0,1112.0,281.0,477.0,616.0,371.0,1.66037735849057,29.0,4.0,3.0,2797.0,82.3,2363.0,69.5,434.0,12.7647058823529
31,Chattanooga,Southern,East,1.0,1.0,0.0,0.0,34.0,29.0,5.0,259.0,712.0,0.36376404494382,581.0,793.0,0.73266078184111,1218.0,1101.0,117.0,372.0,495.0,422.0,1.17298578199052,250.0,1.0,1.0,2578.0,75.8,2265.0,66.6,313.0,9.20588235294118
32,West Virginia,Big 12,East,0.0,0.0,0.0,1.0,34.0,26.0,8.0,206.0,627.0,0.328548644338118,633.0,945.0,0.66984126984127,1332.0,1045.0,287.0,541.0,502.0,476.0,1.0546218487395,24.0,6.0,5.0,2693.0,79.2,2265.0,66.6,428.0,12.5882352941176
33,Iowa St.,Big 12,Midwest,0.0,0.0,2.0,1.0,32.0,21.0,11.0,265.0,697.0,0.380200860832138,358.0,507.0,0.706114398422091,1154.0,1158.0,-4.0,291.0,529.0,370.0,1.42972972972973,12.0,2.0,8.0,2619.0,81.8,2399.0,75.0,220.0,6.875
34,Iona,Metro Atlantic,Midwest,1.0,1.0,0.0,0.0,32.0,22.0,10.0,320.0,860.0,0.372093023255814,451.0,633.0,0.712480252764613,1181.0,1199.0,-18.0,339.0,539.0,409.0,1.31784841075795,160.0,0.0,0.0,2547.0,79.6,2357.0,73.7,190.0,5.9375
35,Maryland,Big Ten,South,0.0,0.0,2.0,1.0,33.0,25.0,8.0,252.0,673.0,0.37444279346211,506.0,666.0,0.75975975975976,1171.0,1058.0,113.0,304.0,465.0,425.0,1.09411764705882,34.0,1.0,5.0,2510.0,76.1,2187.0,66.3,323.0,9.78787878787879
36,Butler,Big East,Midwest,1.0,0.0,1.0,1.0,31.0,21.0,10.0,220.0,569.0,0.386643233743409,542.0,741.0,0.731443994601889,1129.0,1022.0,107.0,354.0,445.0,317.0,1.40378548895899,85.0,3.0,5.0,2498.0,80.6,2206.0,71.2,292.0,9.41935483870968
37,Fresno St.,Mountain West,Midwest,1.0,1.0,0.0,0.0,34.0,25.0,9.0,212.0,620.0,0.341935483870968,549.0,793.0,0.692307692307692,1278.0,1237.0,41.0,404.0,458.0,364.0,1.25824175824176,148.0,0.0,1.0,2561.0,75.3,2395.0,70.4,166.0,4.88235294117647
38,Little Rock,Sun Belt,Midwest,1.0,1.0,1.0,0.0,33.0,29.0,4.0,249.0,641.0,0.388455538221529,420.0,572.0,0.734265734265734,1117.0,1113.0,4.0,302.0,433.0,347.0,1.2478386167147,276.0,0.0,0.0,2341.0,70.9,1968.0,59.6,373.0,11.3030303030303
39,Cincinnati,AAC,West,1.0,0.0,0.0,1.0,32.0,22.0,10.0,242.0,701.0,0.345221112696148,454.0,645.0,0.703875968992248,1260.0,1107.0,153.0,432.0,495.0,354.0,1.39830508474576,71.0,1.0,3.0,2342.0,73.2,2012.0,62.9,330.0,10.3125
40,Virginia,Atlantic Coast,Midwest,0.0,0.0,3.0,1.0,33.0,26.0,7.0,198.0,489.0,0.404907975460123,426.0,565.0,0.753982300884956,1052.0,935.0,117.0,296.0,473.0,310.0,1.5258064516129,1.0,8.0,3.0,2322.0,70.4,1969.0,59.7,353.0,10.6969696969697
41,South Dakota St.,Summit League,South,1.0,1.0,0.0,0.0,32.0,25.0,7.0,239.0,669.0,0.357249626307922,549.0,744.0,0.737903225806452,1212.0,1047.0,165.0,357.0,364.0,381.0,0.955380577427822,147.0,0.0,0.0,2450.0,76.6,2178.0,68.1,272.0,8.5
42,Saint Joseph's,Atlantic 10,West,0.0,1.0,1.0,0.0,34.0,27.0,7.0,238.0,728.0,0.326923076923077,548.0,769.0,0.712613784135241,1312.0,1212.0,100.0,345.0,514.0,344.0,1.49418604651163,59.0,2.0,1.0,2638.0,77.6,2377.0,69.9,261.0,7.67647058823529
43,Southern U.,Southwestern,West,1.0,1.0,0.0,0.0,34.0,22.0,12.0,208.0,590.0,0.352542372881356,497.0,743.0,0.668909825033647,1224.0,1282.0,-58.0,356.0,372.0,382.0,0.973821989528796,335.0,0.0,0.0,2479.0,72.9,2347.0,69.0,132.0,3.88235294117647
44,Oregon,Pac-12,West,0.0,1.0,3.0,1.0,34.0,28.0,6.0,234.0,670.0,0.349253731343284,580.0,813.0,0.713407134071341,1229.0,1119.0,110.0,399.0,464.0,393.0,1.18066157760814,2.0,5.0,1.0,2680.0,78.8,2350.0,69.1,330.0,9.70588235294118
45,Dayton,Atlantic 10,Midwest,0.0,0.0,0.0,1.0,32.0,25.0,7.0,215.0,620.0,0.346774193548387,491.0,730.0,0.672602739726027,1237.0,1065.0,172.0,317.0,470.0,418.0,1.1244019138756,49.0,0.0,3.0,2342.0,73.2,2106.0,65.8,236.0,7.375
46,Notre Dame,Atlantic Coast,East,0.0,0.0,3.0,1.0,32.0,21.0,11.0,235.0,637.0,0.368916797488226,450.0,612.0,0.735294117647059,1154.0,1082.0,72.0,349.0,431.0,311.0,1.38585209003215,26.0,4.0,5.0,2423.0,75.7,2259.0,70.6,164.0,5.125
47,Pittsburgh,Atlantic Coast,East,1.0,0.0,0.0,0.0,32.0,21.0,11.0,201.0,578.0,0.347750865051903,512.0,679.0,0.754050073637702,1222.0,985.0,237.0,410.0,541.0,374.0,1.44652406417112,33.0,1.0,7.0,2433.0,76.0,2173.0,67.9,260.0,8.125
48,Yale,Ivy League,West,1.0,1.0,1.0,0.0,28.0,22.0,6.0,181.0,484.0,0.37396694214876,436.0,657.0,0.663622526636225,1131.0,821.0,310.0,379.0,425.0,374.0,1.13636363636364,178.0,0.0,2.0,2105.0,75.2,1768.0,63.1,337.0,12.0357142857143
49,Michigan,Big Ten,East,1.0,0.0,0.0,0.0,34.0,22.0,12.0,326.0,849.0,0.383981154299176,404.0,548.0,0.737226277372263,1089.0,1122.0,-33.0,267.0,509.0,333.0,1.52852852852853,45.0,3.0,7.0,2526.0,74.3,2294.0,67.5,232.0,6.82352941176471
50,CSU Bakersfield,Western Athletic,West,1.0,1.0,0.0,0.0,32.0,24.0,8.0,174.0,506.0,0.343873517786561,465.0,712.0,0.653089887640449,1226.0,1097.0,129.0,401.0,501.0,391.0,1.28132992327366,322.0,0.0,0.0,2337.0,73.0,2022.0,63.2,315.0,9.84375
51,SFA,Southland,East,1.0,1.0,1.0,1.0,32.0,27.0,5.0,254.0,691.0,0.367583212735166,477.0,653.0,0.730474732006126,1130.0,1020.0,110.0,380.0,605.0,398.0,1.52010050251256,260.0,0.0,1.0,2583.0,80.7,2021.0,63.2,562.0,17.5625
52,Villanova,Big East,South,0.0,0.0,6.0,1.0,34.0,29.0,5.0,291.0,847.0,0.343565525383707,516.0,664.0,0.77710843373494,1211.0,1147.0,64.0,315.0,549.0,378.0,1.45238095238095,20.0,4.0,4.0,2617.0,77.0,2166.0,63.7,451.0,13.2647058823529
53,Syracuse,Atlantic Coast,Midwest,1.0,0.0,4.0,0.0,32.0,19.0,13.0,280.0,776.0,0.360824742268041,435.0,637.0,0.682888540031397,1137.0,1182.0,-45.0,378.0,450.0,388.0,1.15979381443299,39.0,2.0,5.0,2247.0,70.2,2103.0,65.7,144.0,4.5
54,Miami (FL),Atlantic Coast,South,0.0,0.0,2.0,0.0,32.0,25.0,7.0,219.0,599.0,0.365609348914858,527.0,702.0,0.750712250712251,1112.0,1038.0,74.0,310.0,410.0,341.0,1.20234604105572,19.0,4.0,3.0,2420.0,75.6,2138.0,66.8,282.0,8.8125
55,UNC Asheville,Big South,South,1.0,1.0,0.0,0.0,33.0,22.0,11.0,190.0,586.0,0.324232081911263,552.0,795.0,0.694339622641509,1247.0,1172.0,75.0,384.0,411.0,430.0,0.955813953488372,253.0,0.0,1.0,2496.0,75.6,2227.0,67.5,269.0,8.15151515151515
56,UNCW,Colonial,West,1.0,1.0,0.0,0.0,32.0,25.0,7.0,219.0,651.0,0.336405529953917,520.0,741.0,0.701754385964912,1203.0,1170.0,33.0,384.0,428.0,365.0,1.17260273972603,158.0,0.0,0.0,2535.0,79.2,2286.0,71.4,249.0,7.78125
57,Hampton,Mid-Eastern,Midwest,1.0,1.0,0.0,1.0,31.0,21.0,10.0,203.0,659.0,0.30804248861912,529.0,805.0,0.657142857142857,1291.0,1132.0,159.0,438.0,377.0,433.0,0.87066974595843,324.0,0.0,1.0,2318.0,74.8,2289.0,73.8,29.0,0.935483870967742
58,Wisconsin,Big Ten,East,0.0,0.0,2.0,1.0,32.0,20.0,12.0,211.0,590.0,0.357627118644068,491.0,694.0,0.707492795389049,1117.0,1017.0,100.0,366.0,371.0,351.0,1.05698005698006,9.0,3.0,6.0,2204.0,68.9,2066.0,64.6,138.0,4.3125
59,Oregon St.,Pac-12,West,0.0,0.0,0.0,0.0,31.0,19.0,12.0,211.0,570.0,0.370175438596491,451.0,672.0,0.671130952380952,1073.0,1141.0,-68.0,330.0,418.0,355.0,1.17746478873239,13.0,3.0,5.0,2234.0,72.1,2169.0,70.0,65.0,2.09677419354839
60,Temple,AAC,South,1.0,0.0,0.0,0.0,32.0,21.0,11.0,251.0,739.0,0.339648173207037,362.0,529.0,0.684310018903592,1176.0,1224.0,-48.0,358.0,433.0,293.0,1.4778156996587,88.0,1.0,4.0,2197.0,68.7,2158.0,67.4,39.0,1.21875
61,Wichita St.,Missouri Valley,South,1.0,0.0,1.0,1.0,32.0,24.0,8.0,234.0,710.0,0.329577464788732,507.0,710.0,0.714084507042254,1199.0,1051.0,148.0,373.0,459.0,318.0,1.44339622641509,119.0,1.0,1.0,2343.0,73.2,1896.0,59.3,447.0,13.96875
62,Hawaii,Big West,South,1.0,1.0,1.0,0.0,32.0,27.0,5.0,230.0,704.0,0.326704545454545,567.0,833.0,0.680672268907563,1200.0,1050.0,150.0,344.0,504.0,423.0,1.19148936170213,279.0,0.0,1.0,2483.0,77.6,2128.0,66.5,355.0,11.09375
63,Fairleigh Dickinson,Northeast,East,1.0,1.0,0.0,0.0,32.0,18.0,14.0,230.0,634.0,0.362776025236593,451.0,645.0,0.69922480620155,1075.0,1233.0,-158.0,339.0,456.0,414.0,1.10144927536232,298.0,0.0,1.0,2493.0,77.9,2504.0,78.3,-11.0,-0.34375
64,Providence,Big East,East,1.0,0.0,1.0,1.0,33.0,23.0,10.0,234.0,729.0,0.320987654320988,541.0,744.0,0.727150537634409,1207.0,1215.0,-8.0,385.0,525.0,380.0,1.38157894736842,60.0,1.0,7.0,2441.0,74.0,2301.0,69.7,140.0,4.24242424242424
65,UNI,Missouri Valley,West,1.0,1.0,1.0,1.0,34.0,22.0,12.0,278.0,742.0,0.37466307277628,432.0,574.0,0.752613240418119,1022.0,1156.0,-134.0,183.0,406.0,334.0,1.21556886227545,92.0,2.0,0.0,2312.0,68.0,2139.0,62.9,173.0,5.08823529411765
66,Texas,Big 12,West,0.0,0.0,0.0,1.0,32.0,20.0,12.0,223.0,658.0,0.338905775075988,482.0,725.0,0.664827586206897,1105.0,1151.0,-46.0,352.0,367.0,332.0,1.10542168674699,4.0,6.0,7.0,2283.0,71.3,2178.0,68.1,105.0,3.28125
67,Texas Tech,Big 12,Midwest,0.0,0.0,0.0,0.0,31.0,19.0,12.0,178.0,517.0,0.344294003868472,546.0,732.0,0.745901639344262,1059.0,1045.0,14.0,320.0,404.0,371.0,1.08894878706199,6.0,3.0,8.0,2244.0,72.4,2165.0,69.8,79.0,2.54838709677419
68,Tulsa,AAC,East,1.0,0.0,0.0,0.0,31.0,20.0,11.0,216.0,656.0,0.329268292682927,486.0,717.0,0.677824267782427,1086.0,1146.0,-60.0,313.0,425.0,335.0,1.26865671641791,62.0,1.0,1.0,2294.0,74.0,2160.0,69.7,134.0,4.32258064516129
69,Holy Cross,Patriot,West,1.0,1.0,0.0,0.0,33.0,14.0,19.0,236.0,721.0,0.327323162274619,446.0,644.0,0.692546583850932,994.0,1177.0,-183.0,269.0,459.0,362.0,1.26795580110497,283.0,0.0,1.0,2156.0,65.3,2299.0,69.7,-143.0,-4.33333333333333
