,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Abilene Christian,Southland,Midwest,1.0,1.0,0.0,0.0,33.0,27.0,6.0,246.0,637.0,0.3861852433281,452.0,632.0,0.715189873417722,1093.0,1037.0,56.0,325.0,515.0,397.0,1.29722921914358,353.0,0.0,1.0,2458.0,74.5,2082.0,63.1,376.0,11.4
1,Arizona St.,Pac-12,West,1.0,0.0,0.0,1.0,32.0,22.0,10.0,232.0,680.0,0.341176470588235,556.0,829.0,0.670687575392039,1279.0,1127.0,152.0,389.0,435.0,435.0,1.0,73.0,4.0,3.0,2490.0,77.8,2338.0,73.1,152.0,4.8
2,Michigan St.,Big Ten,Midwest,0.0,1.0,0.0,1.0,34.0,29.0,5.0,310.0,715.0,0.433566433566434,444.0,608.0,0.730263157894737,1424.0,1027.0,397.0,419.0,699.0,402.0,1.73880597014925,66.0,6.0,1.0,2712.0,79.8,2155.0,63.4,557.0,16.3823529411765
3,Colorado,Pac-12,South,0.0,0.0,0.0,0.0,33.0,22.0,11.0,250.0,637.0,0.392464678178964,575.0,779.0,0.738125802310655,1400.0,1106.0,294.0,437.0,454.0,442.0,1.02714932126697,53.0,2.0,6.0,2509.0,76.0,2333.0,70.7,176.0,5.33333333333333
4,Kansas,Big 12,South,0.0,1.0,3.0,1.0,34.0,30.0,4.0,283.0,664.0,0.426204819277108,538.0,762.0,0.706036745406824,1283.0,1117.0,166.0,361.0,542.0,428.0,1.26635514018692,8.0,9.0,3.0,2773.0,81.6,2303.0,67.7,470.0,13.8235294117647
5,Oklahoma,Big 12,West,0.0,0.0,4.0,1.0,32.0,25.0,7.0,334.0,784.0,0.426020408163265,471.0,647.0,0.727975270479134,1242.0,1162.0,80.0,343.0,465.0,415.0,1.12048192771084,17.0,7.0,4.0,2573.0,80.4,2254.0,70.4,319.0,9.96875
6,Purdue,Big Ten,Midwest,0.0,0.0,0.0,1.0,34.0,26.0,8.0,259.0,703.0,0.368421052631579,516.0,695.0,0.742446043165468,1392.0,1030.0,362.0,397.0,598.0,406.0,1.47290640394089,35.0,2.0,3.0,2643.0,77.7,2196.0,64.6,447.0,13.1470588235294
7,Arizona,Pac-12,South,0.0,0.0,0.0,1.0,33.0,25.0,8.0,215.0,562.0,0.382562277580071,613.0,848.0,0.722877358490566,1328.0,1024.0,304.0,384.0,479.0,423.0,1.13238770685579,101.0,1.0,4.0,2680.0,81.2,2277.0,69.0,403.0,12.2121212121212
8,Southern California,Pac-12,East,0.0,0.0,0.0,0.0,33.0,21.0,12.0,260.0,675.0,0.385185185185185,500.0,737.0,0.67842605156038,1302.0,1249.0,53.0,396.0,491.0,403.0,1.21836228287841,38.0,0.0,6.0,2668.0,80.8,2467.0,74.8,201.0,6.09090909090909
9,Indiana,Big Ten,East,0.0,0.0,2.0,1.0,32.0,25.0,7.0,316.0,762.0,0.414698162729659,449.0,621.0,0.723027375201288,1196.0,964.0,232.0,385.0,511.0,437.0,1.16933638443936,100.0,2.0,2.0,2633.0,82.3,2205.0,68.9,428.0,13.375
