,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Virginia,ACC,South,0.0,0.0,6.0,1.0,32.0,29.0,3.0,271.0,663.0,0.408748114630468,388.0,520.0,0.746153846153846,1108.0,952.0,156.0,284.0,464.0,289.0,1.60553633217993,16.0,13.0,3.0,2299.0,71.8,1762.0,55.1,537.0,16.8
1,Texas Tech,Big 12,West,0.0,0.0,5.0,1.0,32.0,26.0,6.0,232.0,631.0,0.367670364500792,433.0,595.0,0.727731092436975,1097.0,1028.0,69.0,283.0,449.0,396.0,1.13383838383838,52.0,11.0,5.0,2339.0,73.1,1897.0,59.3,442.0,13.8
2,Michigan St.,Big Ten,East,0.0,1.0,4.0,1.0,34.0,28.0,6.0,282.0,735.0,0.383673469387755,510.0,680.0,0.75,1391.0,1085.0,306.0,368.0,644.0,437.0,1.47368421052632,3.0,17.0,5.0,2680.0,78.8,2228.0,65.5,452.0,13.3
3,Auburn,SEC,Midwest,0.0,1.0,4.0,1.0,35.0,26.0,9.0,396.0,1052.0,0.376425855513308,477.0,669.0,0.713004484304933,1211.0,1224.0,-13.0,422.0,504.0,424.0,1.18867924528302,43.0,6.0,8.0,2785.0,79.6,2384.0,68.1,401.0,11.5
4,Kentucky,SEC,Midwest,0.0,0.0,3.0,1.0,33.0,27.0,6.0,199.0,547.0,0.363802559414991,577.0,780.0,0.73974358974359,1268.0,972.0,296.0,383.0,457.0,417.0,1.09592326139089,23.0,11.0,4.0,2532.0,76.7,2159.0,65.4,373.0,11.3
5,Purdue,Big Ten,South,0.0,0.0,3.0,1.0,32.0,23.0,9.0,311.0,854.0,0.364168618266979,413.0,564.0,0.732269503546099,1177.0,1011.0,166.0,391.0,462.0,342.0,1.35087719298246,10.0,13.0,6.0,2438.0,76.2,2138.0,66.8,300.0,9.4
6,Gonzaga,WCC,West,0.0,0.0,3.0,1.0,33.0,30.0,3.0,257.0,704.0,0.365056818181818,551.0,718.0,0.767409470752089,1275.0,1070.0,205.0,315.0,601.0,342.0,1.75730994152047,81.0,4.0,3.0,2932.0,88.8,2147.0,65.1,785.0,23.8
7,Duke,ACC,East,0.0,1.0,3.0,1.0,34.0,29.0,5.0,247.0,818.0,0.301955990220049,518.0,751.0,0.689747003994674,1420.0,1212.0,208.0,455.0,541.0,446.0,1.21300448430493,4.0,14.0,5.0,2839.0,83.5,2297.0,67.6,542.0,15.9
8,Virginia Tech,ACC,East,0.0,0.0,2.0,1.0,32.0,24.0,8.0,307.0,779.0,0.394094993581515,413.0,545.0,0.757798165137615,1043.0,958.0,85.0,285.0,491.0,364.0,1.3489010989011,42.0,4.0,8.0,2368.0,74.0,1987.0,62.1,381.0,11.9
9,Florida St.,ACC,West,0.0,0.0,2.0,1.0,34.0,27.0,7.0,255.0,760.0,0.335526315789474,534.0,721.0,0.740638002773925,1271.0,1112.0,159.0,389.0,438.0,459.0,0.954248366013072,22.0,11.0,5.0,2547.0,74.9,2282.0,67.1,265.0,7.8
10,North Carolina,ACC,Midwest,0.0,0.0,2.0,1.0,33.0,27.0,6.0,289.0,791.0,0.365360303413401,505.0,681.0,0.741556534508076,1437.0,1118.0,319.0,431.0,627.0,431.0,1.45475638051044,1.0,12.0,6.0,2840.0,86.1,2405.0,72.9,435.0,13.2
11,Houston,AAC,Midwest,0.0,0.0,2.0,1.0,34.0,31.0,3.0,313.0,871.0,0.359357060849598,454.0,647.0,0.701700154559505,1391.0,1142.0,249.0,425.0,503.0,386.0,1.30310880829016,85.0,6.0,2.0,2571.0,75.6,2082.0,61.2,489.0,14.4
12,Tennessee,SEC,South,0.0,0.0,2.0,1.0,34.0,29.0,5.0,233.0,644.0,0.361801242236025,520.0,682.0,0.762463343108504,1277.0,1162.0,115.0,349.0,620.0,380.0,1.63157894736842,36.0,9.0,5.0,2781.0,81.8,2334.0,68.6,447.0,13.1
13,Michigan,Big Ten,West,0.0,0.0,2.0,1.0,34.0,28.0,6.0,274.0,782.0,0.350383631713555,367.0,526.0,0.697718631178707,1185.0,1178.0,7.0,282.0,475.0,300.0,1.58333333333333,19.0,12.0,6.0,2393.0,70.4,1991.0,58.6,402.0,11.8
14,LSU,SEC,East,0.0,0.0,2.0,0.0,32.0,26.0,6.0,219.0,678.0,0.323008849557522,561.0,744.0,0.754032258064516,1241.0,1078.0,163.0,432.0,420.0,423.0,0.99290780141844,51.0,7.0,4.0,2604.0,81.4,2337.0,73.0,267.0,8.3
15,Oregon,Pac-12,South,1.0,1.0,2.0,0.0,35.0,23.0,12.0,266.0,775.0,0.343225806451613,429.0,597.0,0.718592964824121,1205.0,1144.0,61.0,340.0,467.0,413.0,1.13075060532688,76.0,1.0,3.0,2467.0,70.5,2203.0,62.9,264.0,7.5
16,Murray St.,OVC,West,1.0,1.0,1.0,1.0,31.0,27.0,4.0,242.0,695.0,0.348201438848921,464.0,628.0,0.738853503184713,1175.0,1057.0,118.0,336.0,561.0,375.0,1.496,249.0,1.0,2.0,2582.0,83.3,2101.0,67.8,481.0,15.5
17,Ohio St.,Big Ten,Midwest,1.0,0.0,1.0,1.0,33.0,19.0,14.0,249.0,725.0,0.343448275862069,455.0,620.0,0.733870967741935,1147.0,1103.0,44.0,310.0,470.0,414.0,1.13526570048309,17.0,7.0,11.0,2298.0,69.6,2185.0,66.2,113.0,3.4
18,Villanova,Big East,South,0.0,1.0,1.0,1.0,34.0,25.0,9.0,361.0,1023.0,0.352883675464321,491.0,675.0,0.727407407407407,1204.0,1119.0,85.0,357.0,485.0,384.0,1.26302083333333,57.0,4.0,3.0,2532.0,74.5,2281.0,67.1,251.0,7.4
19,Florida,SEC,West,1.0,0.0,1.0,1.0,34.0,19.0,15.0,277.0,828.0,0.334541062801932,416.0,579.0,0.718480138169257,1138.0,1159.0,-21.0,361.0,416.0,400.0,1.04,24.0,3.0,12.0,2321.0,68.3,2164.0,63.6,157.0,4.6
20,Oklahoma,Big 12,South,1.0,0.0,1.0,1.0,32.0,19.0,13.0,212.0,619.0,0.34248788368336,405.0,586.0,0.691126279863481,1203.0,1187.0,16.0,295.0,406.0,390.0,1.04102564102564,14.0,7.0,11.0,2277.0,71.2,2183.0,68.2,94.0,2.9
21,Kansas,Big 12,Midwest,0.0,0.0,1.0,1.0,34.0,25.0,9.0,246.0,702.0,0.35042735042735,461.0,661.0,0.697428139183056,1294.0,1208.0,86.0,353.0,453.0,455.0,0.995604395604396,5.0,15.0,7.0,2563.0,75.4,2383.0,70.1,180.0,5.3
22,Buffalo,MAC,West,0.0,1.0,1.0,1.0,34.0,31.0,3.0,325.0,968.0,0.335743801652893,497.0,719.0,0.691237830319889,1396.0,1261.0,135.0,430.0,573.0,402.0,1.42537313432836,121.0,1.0,1.0,2888.0,84.9,2398.0,70.5,490.0,14.4
23,Wofford,SoCon,Midwest,0.0,1.0,1.0,0.0,33.0,29.0,4.0,364.0,874.0,0.416475972540046,381.0,545.0,0.699082568807339,1170.0,956.0,214.0,350.0,507.0,363.0,1.39669421487603,101.0,0.0,4.0,2739.0,83.0,2165.0,65.6,574.0,17.4
24,Maryland,Big Ten,East,0.0,0.0,1.0,0.0,32.0,22.0,10.0,232.0,657.0,0.353120243531202,437.0,584.0,0.748287671232877,1253.0,979.0,274.0,351.0,423.0,422.0,1.00236966824645,20.0,9.0,8.0,2283.0,71.3,2082.0,65.1,201.0,6.3
