,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
54,112.0,"[16, 16, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
55,165.0,"[16, 16, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
56,182.0,"[16, 16, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
57,115.0,"[16, 16, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
58,145.0,"[16, 16, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
59,98.0,"[16, 16, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
60,112.0,"[32, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
61,111.0,"[32, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
62,72.0,"[32, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
63,105.0,"[32, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
64,126.0,"[32, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
65,169.0,"[32, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
66,126.0,"[32, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
67,137.0,"[32, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
68,164.0,"[32, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
69,139.0,"[32, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
70,109.0,"[32, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
71,145.0,"[32, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
72,78.0,"[32, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
73,127.0,"[32, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
74,155.0,"[32, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
75,131.0,"[16, 16, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
76,146.0,"[16, 16, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
77,132.0,"[16, 16, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
78,178.0,"[16, 16, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
79,98.0,"[16, 16, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
80,126.0,"[16, 16, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
81,165.0,"[16, 16, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
82,80.0,"[16, 16, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
83,155.0,"[16, 16, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
84,146.0,"[16, 16, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
85,135.0,"[16, 16, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
86,145.0,"[16, 16, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
87,108.0,"[16, 16, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
88,161.0,"[16, 16, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
89,104.0,"[16, 16, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
90,154.0,"[16, 8, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
91,103.0,"[16, 8, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
92,185.0,"[16, 8, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
93,130.0,"[16, 8, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
94,98.0,"[16, 8, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
95,136.0,"[16, 8, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
96,144.0,"[16, 8, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
97,181.0,"[16, 8, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
98,172.0,"[16, 8, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
99,177.0,"[16, 8, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
100,151.0,"[16, 8, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
101,155.0,"[16, 8, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
102,137.0,"[16, 8, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
103,100.0,"[16, 8, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
104,132.0,"[16, 8, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
105,119.0,"[32, 32, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
106,98.0,"[32, 32, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
107,150.0,"[32, 32, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
108,161.0,"[32, 32, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
109,98.0,"[32, 32, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
110,129.0,"[32, 32, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
111,138.0,"[32, 32, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
112,139.0,"[32, 32, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
113,91.0,"[32, 32, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
114,98.0,"[32, 32, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
115,145.0,"[32, 32, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
116,106.0,"[32, 32, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
117,111.0,"[32, 32, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
118,133.0,"[32, 32, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
119,122.0,"[32, 32, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
120,124.0,"[32, 16, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
121,143.0,"[32, 16, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
122,151.0,"[32, 16, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
123,138.0,"[32, 16, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
124,82.0,"[32, 16, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
125,146.0,"[32, 16, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
126,77.0,"[32, 16, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
127,148.0,"[32, 16, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
128,133.0,"[32, 16, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
129,132.0,"[32, 16, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
130,117.0,"[32, 16, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
131,149.0,"[32, 16, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
132,159.0,"[32, 16, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
133,194.0,"[32, 16, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
134,92.0,"[32, 16, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
135,104.0,"[7, 7, 7, 7]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
136,181.0,"[7, 7, 7, 7]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
137,169.0,"[7, 7, 7, 7]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
138,169.0,"[7, 7, 7, 7]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
139,98.0,"[7, 7, 7, 7]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
140,159.0,"[7, 7, 7, 7]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
141,179.0,"[7, 7, 7, 7]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
142,178.0,"[7, 7, 7, 7]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
143,184.0,"[7, 7, 7, 7]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
144,98.0,"[7, 7, 7, 7]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
145,139.0,"[7, 7, 7, 7]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
146,126.0,"[7, 7, 7, 7]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
147,181.0,"[7, 7, 7, 7]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
148,166.0,"[7, 7, 7, 7]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
149,98.0,"[7, 7, 7, 7]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
150,98.0,"[8, 7, 7]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
151,144.0,"[8, 7, 7]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
152,156.0,"[8, 7, 7]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
153,183.0,"[8, 7, 7]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
154,91.0,"[8, 7, 7]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
155,156.0,"[8, 7, 7]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
156,164.0,"[8, 7, 7]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
157,142.0,"[8, 7, 7]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
158,131.0,"[8, 7, 7]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
159,98.0,"[8, 7, 7]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
160,135.0,"[8, 7, 7]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
161,152.0,"[8, 7, 7]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
162,128.0,"[8, 7, 7]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
163,141.0,"[8, 7, 7]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
164,98.0,"[8, 7, 7]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
165,158.0,"[20, 15, 10, 7]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
166,126.0,"[20, 15, 10, 7]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
167,175.0,"[20, 15, 10, 7]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
168,172.0,"[20, 15, 10, 7]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
169,98.0,"[20, 15, 10, 7]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
170,178.0,"[20, 15, 10, 7]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
171,139.0,"[20, 15, 10, 7]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
172,140.0,"[20, 15, 10, 7]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
173,138.0,"[20, 15, 10, 7]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
174,132.0,"[20, 15, 10, 7]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
175,151.0,"[20, 15, 10, 7]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
176,174.0,"[20, 15, 10, 7]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
177,145.0,"[20, 15, 10, 7]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
178,115.0,"[20, 15, 10, 7]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
179,98.0,"[20, 15, 10, 7]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
180,134.0,"[20, 16, 12]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
181,145.0,"[20, 16, 12]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
182,157.0,"[20, 16, 12]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
183,147.0,"[20, 16, 12]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
184,122.0,"[20, 16, 12]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
185,154.0,"[20, 16, 12]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
186,166.0,"[20, 16, 12]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
187,164.0,"[20, 16, 12]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
188,169.0,"[20, 16, 12]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
189,92.0,"[20, 16, 12]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
190,176.0,"[20, 16, 12]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
191,164.0,"[20, 16, 12]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
192,121.0,"[20, 16, 12]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
193,108.0,"[20, 16, 12]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
194,108.0,"[20, 16, 12]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
195,168.0,"[16, 12, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
196,168.0,"[16, 12, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
197,120.0,"[16, 12, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
198,150.0,"[16, 12, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
199,153.0,"[16, 12, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
200,160.0,"[16, 12, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
201,174.0,"[16, 12, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
202,175.0,"[16, 12, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
203,143.0,"[16, 12, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
204,85.0,"[16, 12, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
205,168.0,"[16, 12, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
206,128.0,"[16, 12, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
207,152.0,"[16, 12, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
208,127.0,"[16, 12, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
209,98.0,"[16, 12, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
210,129.0,"[20, 16, 12, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
211,134.0,"[20, 16, 12, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
212,180.0,"[20, 16, 12, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
213,142.0,"[20, 16, 12, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
214,87.0,"[20, 16, 12, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
215,166.0,"[20, 16, 12, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
216,168.0,"[20, 16, 12, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
217,121.0,"[20, 16, 12, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
218,184.0,"[20, 16, 12, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
219,98.0,"[20, 16, 12, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
220,117.0,"[20, 16, 12, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
221,99.0,"[20, 16, 12, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
222,156.0,"[20, 16, 12, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
223,143.0,"[20, 16, 12, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
224,184.0,"[20, 16, 12, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
225,152.0,"[32, 32, 32]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
226,122.0,"[32, 32, 32]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
227,117.0,"[32, 32, 32]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
228,160.0,"[32, 32, 32]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
229,176.0,"[32, 32, 32]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
230,149.0,"[32, 32, 32]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
231,154.0,"[32, 32, 32]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
232,115.0,"[32, 32, 32]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
233,135.0,"[32, 32, 32]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
234,173.0,"[32, 32, 32]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
235,111.0,"[32, 32, 32]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
236,143.0,"[32, 32, 32]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
237,128.0,"[32, 32, 32]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
238,165.0,"[32, 32, 32]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
239,106.0,"[32, 32, 32]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
240,123.0,"[16, 32, 16]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
