,Cinderella,Number of Tournament Wins,3pt_0,Free Throw-Rebound_0,Free Throw-Rebound_1,Free Throw-Rebound_2,Region_0,PPG_0,PPG_1,Scoring Differential_0,Assist_0,Schedule_0,Win-Loss_0
0,1.0,0.0,2.210536652764787,0.2992939212074871,0.10062553199766125,-1.1271341848979064,-0.14399133654667257,1.9235317533836966,-0.547361184215564,-1.924802539125279,-2.21498715455162,-2.230598862191581,1.7221461521369394
1,1.0,0.0,0.7710518849552722,2.9723774239048084,0.16469787822533444,0.466136571658881,-0.43546363165002566,3.0649174103982606,-0.9692796793046579,-0.9387048886121039,-0.5896740586610563,-1.6854071974281541,1.061295706869486
2,0.0,3.0,1.6487725995711233,-2.218609357409769,-1.8900178951996973,0.9197135355448314,-0.43546363165002566,1.2496853996396742,-1.1602063106882763,2.26476737696436,1.3570458601656292,0.4676277400697066,-2.2300743180442253
3,1.0,0.0,-0.7997688509248964,-0.2296823556651445,2.3065576716327016,0.5670106788471064,-0.2891412009536531,-0.24202517488933015,0.08727093154596866,-0.6783862903311899,0.06934443953383355,0.018757586957117284,0.7308704842357592
4,0.0,2.0,-0.9644048406943614,-3.3819219034246304,-1.3046716314560425,0.44746155096437923,-0.43546363165002566,-1.0210811831963613,-0.6691072352664788,-0.3606716541237784,0.5593656198269232,0.9647334911897625,-0.24108188153008542
5,1.0,0.0,1.8468342768795907,-4.583642771723349,0.14802564838333354,-0.5094432243134694,-0.43546363165002566,-3.540346426059041,0.3828587103444059,-0.2721153390948135,1.1012889044366507,0.724123125781465,0.08290224039186278
6,1.0,0.0,1.0319729719728317,1.2907434073956805,0.7422167891992872,1.2349312586756098,-0.2891412009536531,2.4121273895016233,-0.6612827035136399,-2.6861804590920273,0.0001270062578296871,-1.033838628546991,3.374272265305574
7,0.0,0.0,1.4929116760095658,-1.0692443799277191,-0.726366737880573,0.005923869242316415,0.8403775101699335,2.140889261793075,-1.0557883217810713,0.725108835557855,-0.528575481831825,0.3543849695382195,-1.245239750854823
8,1.0,0.0,1.187631825196286,-1.9118938686683502,-0.5003563286547233,0.3643335822353458,0.8403775101699335,-0.08382062127334958,-0.25515300188799356,-1.2310654726100034,-2.9744927495375997,-2.2542922646963506,0.7373115849475378
9,0.0,0.0,2.04992449856713,-2.4209337644130793,-0.5297037213985636,-1.0263186886720765,-0.14399133654667257,0.0018200183938876652,-0.5776057970155533,-1.6546950034063652,-2.1101147360112087,0.7478165282862346,0.08290224039186278
10,0.0,1.0,-3.208699693746307,0.9765853403893732,0.2862619149991216,-0.9802223447516373,-0.43546363165002566,-0.9731964121015635,-0.12828831046725087,1.276450431135175,3.288414749706626,-0.0787498476350047,-0.9148145282210962
11,1.0,3.0,0.4309614526394227,-0.8222381038374419,-0.5386992772201913,0.5337912782855971,-0.14399133654667257,-0.0677153681940253,-0.2917221435116215,-0.7607105499396579,-0.7824647250388056,-0.20906356141123733,0.0764611396800842
12,1.0,0.0,-0.06952369957419346,-2.471446173709431,2.6222492197899276,-0.07290363043928888,0.8403775101699335,-2.50562611549664,0.1263625931728678,-1.185677667437515,-0.8101861530794532,-1.359379505833846,-0.5779482048755908
13,0.0,0.0,-1.7158028752755832,-0.828166760401179,0.35685562375051516,-0.5842961444803456,-0.2891412009536531,-0.8313392701897873,-0.17288216477938903,1.3022603614316655,1.5430957600818602,1.5858676267693843,-0.7740821708119584
14,1.0,0.0,-1.9817736626454163,1.3935213247675984,3.291048879162636,-1.1038728779221456,-0.14399133654667257,-1.4090655850669118,0.07202111846739095,0.08165404293406714,0.8790802793776908,-1.4719231677315014,-0.25396408295364264
15,0.0,4.0,0.07681500815154395,-1.3838968824398281,-0.7558792184308287,0.9997562314962094,-0.14399133654667257,1.6501438213683548,-1.2439619431925353,1.5599037863095915,-0.21788662180123802,0.5981848609996657,-2.890924763311679
16,1.0,0.0,1.3944155335580681,-1.508703849080491,-0.1643328944748716,1.1209073525325508,0.8403775101699335,0.31812702699781303,-0.09850103065464712,-0.5555686942692296,-0.7144382595451824,0.2867376952307861,-0.26040518366542126
17,0.0,1.0,-0.32891188499566915,-0.6898548160438557,0.30858210118612306,-0.18769200023448543,-0.43546363165002566,-0.4613351657327257,-0.6054869608959035,1.2639863202941872,0.6065639490360681,-1.1229322950936034,-1.5692238727767713
18,1.0,1.0,1.563360360610482,0.4303297580529054,0.03061500769593134,-0.8050793589322374,0.8403775101699335,1.812124024819163,-0.07717980395226454,1.407293547406103,0.12951922281097034,-1.744640703690078,-0.9341378303564323
19,1.0,0.0,1.4854444709085655,-2.8222378847912477,-0.8546119709693896,-1.4526244465838343,-0.2891412009536531,-1.4917103206950324,0.38934439397556075,1.1514135397572067,1.260942339650406,1.4571018146249106,1.061295706869486
20,0.0,2.0,-0.9525085430303859,-1.4245144063391277,1.1120016148017584,0.4210443543726852,0.8403775101699335,-2.5307157418060955,0.41263646310863006,0.2707749057460031,3.332499327581546,0.1584275845664177,-0.9148145282210962
21,0.0,1.0,1.6378945177816966,-2.299186870968727,-0.898228905146038,-1.0145375429136694,-0.14399133654667257,-1.4780602935389282,0.08855801528781115,0.3161627109184888,-0.1821314207520072,1.1850833873001656,-0.25396408295364264
22,1.0,0.0,1.4686183797211096,-0.8197871068579279,0.25737263235200025,1.5099476728424372,-0.2891412009536531,1.0648638251986087,-0.2993720276105508,-1.3525454819704676,0.3578235436235072,0.5295950709046742,1.061295706869486
