,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
54,148.0,"[16, 16, 16]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
55,85.0,"[16, 16, 16]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
56,130.0,"[16, 16, 16]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
57,102.0,"[16, 16, 16]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
58,146.0,"[16, 16, 16]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
59,146.0,"[16, 16, 16]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
60,81.0,"[32, 32]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
61,85.0,"[32, 32]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
62,68.0,"[32, 32]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
63,73.0,"[32, 32]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
64,101.0,"[32, 32]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
65,71.0,"[32, 32]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
66,60.0,"[32, 32]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
67,72.0,"[32, 32]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
68,84.0,"[32, 32]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
69,81.0,"[32, 32]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
70,117.0,"[32, 32]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
71,56.0,"[32, 32]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
72,72.0,"[32, 32]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
73,77.0,"[32, 32]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
74,89.0,"[32, 32]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
75,81.0,"[16, 16, 32]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
76,67.0,"[16, 16, 32]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
77,72.0,"[16, 16, 32]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
78,72.0,"[16, 16, 32]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
79,143.0,"[16, 16, 32]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
80,98.0,"[16, 16, 32]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
81,87.0,"[16, 16, 32]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
82,75.0,"[16, 16, 32]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
83,77.0,"[16, 16, 32]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
84,101.0,"[16, 16, 32]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
85,73.0,"[16, 16, 32]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
86,129.0,"[16, 16, 32]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
87,70.0,"[16, 16, 32]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
88,80.0,"[16, 16, 32]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
89,70.0,"[16, 16, 32]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
90,90.0,"[16, 8, 16]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
91,76.0,"[16, 8, 16]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
92,90.0,"[16, 8, 16]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
93,84.0,"[16, 8, 16]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
94,148.0,"[16, 8, 16]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
95,75.0,"[16, 8, 16]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
96,78.0,"[16, 8, 16]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
97,98.0,"[16, 8, 16]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
98,85.0,"[16, 8, 16]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
99,141.0,"[16, 8, 16]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
100,93.0,"[16, 8, 16]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
101,65.0,"[16, 8, 16]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
102,74.0,"[16, 8, 16]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
103,98.0,"[16, 8, 16]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
104,123.0,"[16, 8, 16]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
105,77.0,"[32, 32, 8]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
106,138.0,"[32, 32, 8]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
107,86.0,"[32, 32, 8]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
108,61.0,"[32, 32, 8]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
109,96.0,"[32, 32, 8]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
110,87.0,"[32, 32, 8]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
111,78.0,"[32, 32, 8]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
112,84.0,"[32, 32, 8]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
113,98.0,"[32, 32, 8]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
114,98.0,"[32, 32, 8]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
115,148.0,"[32, 32, 8]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
116,83.0,"[32, 32, 8]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
117,96.0,"[32, 32, 8]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
118,98.0,"[32, 32, 8]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
119,143.0,"[32, 32, 8]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
120,73.0,"[32, 16, 8]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
121,85.0,"[32, 16, 8]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
122,75.0,"[32, 16, 8]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
123,77.0,"[32, 16, 8]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
124,79.0,"[32, 16, 8]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
125,86.0,"[32, 16, 8]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
126,93.0,"[32, 16, 8]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
127,58.0,"[32, 16, 8]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
128,98.0,"[32, 16, 8]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
129,146.0,"[32, 16, 8]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
130,76.0,"[32, 16, 8]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
131,90.0,"[32, 16, 8]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
132,135.0,"[32, 16, 8]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
133,87.0,"[32, 16, 8]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
134,85.0,"[32, 16, 8]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
135,87.0,"[7, 7, 7, 7]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
136,92.0,"[7, 7, 7, 7]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
137,98.0,"[7, 7, 7, 7]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
138,98.0,"[7, 7, 7, 7]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
139,104.0,"[7, 7, 7, 7]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
140,98.0,"[7, 7, 7, 7]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
141,75.0,"[7, 7, 7, 7]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
142,143.0,"[7, 7, 7, 7]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
143,146.0,"[7, 7, 7, 7]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
144,128.0,"[7, 7, 7, 7]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
145,85.0,"[7, 7, 7, 7]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
146,78.0,"[7, 7, 7, 7]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
147,98.0,"[7, 7, 7, 7]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
148,143.0,"[7, 7, 7, 7]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
149,72.0,"[7, 7, 7, 7]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
150,146.0,"[8, 7, 7]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
151,87.0,"[8, 7, 7]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
152,143.0,"[8, 7, 7]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
153,93.0,"[8, 7, 7]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
154,137.0,"[8, 7, 7]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
155,77.0,"[8, 7, 7]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
156,143.0,"[8, 7, 7]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
157,90.0,"[8, 7, 7]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
