,Cinderella,Number of Tournament Wins,optimalrank,3pt_0,Free Throw-Rebound_0,Free Throw-Rebound_1,Free Throw-Rebound_2,Region_0,PPG_0,PPG_1,Scoring Differential_0,Assist_0,Schedule_0,Win-Loss_0
238,0.0,6.0,10,1.492911676009566,-1.069244379927719,-0.7263667378805732,0.005923869242319885,0.8403775101699358,2.140889261793074,-1.0557883217810708,0.725108835557855,-0.5285754818318252,0.3543849695382196,-1.2452397508548232
355,0.0,6.0,10,-1.4437007872607681,-1.3229436706012674,0.17591104374063435,0.3707153471418803,0.8403775101699358,-0.7346993967267648,-0.4839314190901077,0.6079153561985484,-0.836212894684009,-2.3786826278463904,-0.9083734275093174
0,0.0,6.0,10,-0.26644295557599673,-3.3736862669130576,-3.3250473225901764,-0.39564187534786743,-0.14399133654667678,-2.610159399894895,-0.017236391502736925,2.049836583855932,2.3095480097038785,1.3072267401846152,-1.2387986501430441
467,0.0,6.0,10,2.774057355356427,1.8660096905395211,-0.67171802390239,0.06169092991192997,-0.43546363165001234,3.945005934779804,-0.4347334117620274,-0.5146194797287614,-0.977779838048001,-1.1463822904446457,0.3811219594666958
68,0.0,6.0,10,-2.7446766749663087,-1.0004743606122808,1.776375064133859,-0.9763149946880113,-0.14399133654667678,-2.700151106397267,0.08727358823420561,0.7126447247168668,2.5489038872573726,-0.18880309211334206,-1.2387986501430441
197,0.0,6.0,10,0.861217748692811,0.5279493173911496,0.8822314381888686,1.09310531019259,-0.14399133654667678,0.4458807619382553,-0.07723795014154211,-1.6951883398598535,-1.1324978463868738,3.324299133261123,1.3917209295032136
324,0.0,6.0,10,1.353014433957088,-1.083696632193639,0.22090890031000016,0.09524600063226421,-0.43546363165001234,-0.3437560710765431,-0.5711867735671001,0.08521092495157011,0.27808411661276833,-0.631050785965907,-0.9083734275093174
19,1.0,5.0,9,-3.0369884726482006,-0.3173104725945554,0.4273279786002994,-0.1941813465078226,-0.43546363165001234,-1.299982247359097,0.3574125888529952,0.5385510545996275,-0.4702601008506502,1.687750510355939,-0.5908304062991483
22,0.0,5.0,9,-4.428462168681437,-0.9249702816729998,1.0404022014557412,0.4847205086881773,-0.2891412009536646,-1.6636558780784645,-0.5756400197602488,1.1852189427032207,0.05675671813421054,2.2596128093509043,-0.9019323267975384
69,0.0,5.0,9,-1.0725872740201812,-2.783401696804093,0.03319390352237489,1.1961920651505342,-0.2891412009536646,-0.6020097800423116,-0.7304609755690393,4.305485240056699,1.8239340871517653,0.39111099623665835,-1.8996490954104983
165,0.0,5.0,9,1.5633603606104813,0.43032975805290496,0.030615007695927413,-0.8050793589322417,0.8403775101699358,1.8121240248191628,-0.07717980395226465,1.4072935474061032,0.12951922281096975,-1.7446407036900777,-0.934137830356433
217,0.0,5.0,9,0.8387915867682237,-1.3428225880088498,1.3051778793092192,1.0358777178948764,0.8403775101699358,-0.5666803902147781,-0.3949138747948414,-1.8389213974993037,-1.90888705322539,1.1673133354215885,1.4046031309267715
433,0.0,5.0,9,-2.9264386698256835,1.2463507814490784,0.3375955245751746,0.6565341501350689,-0.14399133654667678,-0.7116799848593818,0.5023580570518997,0.7856359249743198,3.057700173419313,-0.129082771543966,-0.26684628437720026
406,0.0,5.0,9,2.6477033360347098,7.2123355697905,-1.5295131509208055,-0.9803163045003933,-0.2891412009536646,4.085226388778983,2.8813521026499633,-1.447139016741071,-0.9839751237068591,-2.2163925184398816,3.614522077974397
302,0.0,5.0,9,-0.6100030927303007,-1.363728383624437,0.24842158004601628,-0.9625045704588212,0.8403775101699358,-0.5501752606848279,-0.5310232974327787,0.38696527103059086,-0.06503356947613662,-1.5810338964222816,-1.8996490954104983
162,1.0,4.0,7,1.6378945177816968,-2.2991868709687275,-0.8982289051460425,-1.0145375429136687,-0.14399133654667678,-1.4780602935389278,0.08855801528781104,0.3161627109184889,-0.18213142075200645,1.1850833873001656,-0.25396408295364237
252,0.0,4.0,7,0.1067602927531733,0.11780650424670358,1.3765297163615846,0.6961698791690966,-0.14399133654667678,0.3028569269015232,-0.39086698700367806,-1.077543477532555,-0.20919660327351888,1.430917994700823,1.0677368075812654
325,1.0,4.0,7,0.4573243740010664,0.39945866676041464,-0.45236236337952657,0.26640225016032865,-0.2891412009536646,0.6083703785695226,-0.9138900553264105,1.2946907193096768,-0.16931134568050324,-1.614326989913845,-1.8996490954104983
70,0.0,4.0,7,0.9928902217665012,-2.2673389699826965,-0.8200677808008082,1.2721113427268138,-0.2891412009536646,0.2518734794282922,-0.09494298072269702,-0.37134230017628994,-0.5123424913405024,1.255464486180642,0.07002003896830566
277,0.0,4.0,7,-1.0909734985123087,-1.344531469811732,1.0262371949194944,-1.2111142319478814,-0.43546363165001234,-2.4354983332979274,0.7970988164724078,-0.6267664297382074,0.3570010003616487,0.48102234295385093,0.07002003896830566
475,0.0,4.0,7,-2.1179700155968626,-0.43266619566808784,1.116461959492027,-0.2975253021420521,-0.14399133654667678,-0.7245754349223095,-0.4512412949913095,-0.032712202391388404,-0.05994693183881111,-2.295512311925971,0.08290224039186356
244,0.0,4.0,7,-1.7158028752755832,-0.8281667604011794,0.35685562375051205,-0.5842961444803481,-0.2891412009536646,-0.8313392701897868,-0.17288216477938917,1.3022603614316655,1.5430957600818593,1.5858676267693839,-0.7740821708119583
71,0.0,4.0,7,1.3775831907283156,-0.825896359657124,-1.292382839556868,0.9016802054771351,0.8403775101699358,2.819536065417902,-1.544642031859718,0.8501457269358232,0.2464554695361783,0.6065986290451756,-1.5692238727767713
