,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Quad 1 Wins,Quad 1 Losses
373,Minnesota,Big Ten,East,1.0,0.0,1.0,0.0,34.0,21.0,13.0,178.0,554.0,0.32129963898916997,549.0,808.0,0.6794554455445551,1259.0,1171.0,88.0,389.0,506.0,408.0,1.2401960784313701,18.0,8.0,10.0,2407.0,70.8,2352.0,69.2,55.0,1.6,2019,,
374,New Mexico St.,WAC,Midwest,1.0,1.0,0.0,1.0,34.0,30.0,4.0,319.0,952.0,0.335084033613445,464.0,687.0,0.675400291120815,1304.0,979.0,325.0,436.0,500.0,403.0,1.2406947890818898,303.0,0.0,2.0,2657.0,78.1,2181.0,64.1,476.0,14.0,2019,,
375,N.C. Central,MEAC,East,1.0,1.0,0.0,1.0,33.0,18.0,15.0,212.0,672.0,0.31547619047619,443.0,620.0,0.7145161290322579,1233.0,1019.0,214.0,389.0,509.0,507.0,1.00394477317554,341.0,0.0,2.0,2355.0,71.4,2188.0,66.3,167.0,5.1,2019,,
376,Cincinnati,AAC,South,0.0,1.0,0.0,1.0,34.0,28.0,6.0,226.0,646.0,0.34984520123838997,524.0,744.0,0.7043010752688169,1232.0,1055.0,177.0,436.0,457.0,358.0,1.27653631284916,67.0,3.0,5.0,2438.0,71.7,2115.0,62.2,323.0,9.5,2019,,
377,Montana,Big Sky,West,1.0,1.0,0.0,1.0,34.0,26.0,8.0,281.0,739.0,0.38024357239512896,419.0,608.0,0.689144736842105,1146.0,1056.0,90.0,293.0,500.0,408.0,1.22549019607843,298.0,0.0,1.0,2610.0,76.8,2323.0,68.3,287.0,8.4,2019,,
378,Kansas St.,Big 12,South,0.0,0.0,0.0,1.0,33.0,25.0,8.0,233.0,694.0,0.335734870317003,371.0,559.0,0.663685152057245,1098.0,1060.0,38.0,312.0,454.0,372.0,1.22043010752688,34.0,11.0,6.0,2172.0,65.8,1955.0,59.2,217.0,6.6,2019,,
379,Arizona St.,Pac-12,West,1.0,0.0,0.0,1.0,32.0,22.0,10.0,232.0,680.0,0.34117647058823497,556.0,829.0,0.6706875753920389,1279.0,1127.0,152.0,389.0,435.0,435.0,1.0,73.0,4.0,3.0,2490.0,77.8,2338.0,73.1,152.0,4.8,2019,,
380,Nevada,MWC,West,0.0,0.0,0.0,1.0,33.0,29.0,4.0,292.0,831.0,0.35138387484957895,560.0,791.0,0.7079646017699109,1233.0,1155.0,78.0,307.0,494.0,338.0,1.46153846153846,124.0,1.0,1.0,2662.0,80.7,2198.0,66.6,464.0,14.1,2019,,
381,Iona,MAAC,Midwest,1.0,1.0,0.0,1.0,32.0,17.0,15.0,282.0,804.0,0.350746268656716,507.0,684.0,0.7412280701754391,1101.0,1168.0,-67.0,282.0,421.0,397.0,1.06045340050378,314.0,0.0,1.0,2459.0,76.8,2420.0,75.6,39.0,1.2,2019,,
382,Seton Hall,Big East,Midwest,1.0,0.0,0.0,1.0,33.0,20.0,13.0,231.0,714.0,0.323529411764706,483.0,682.0,0.708211143695015,1183.0,1190.0,-7.0,351.0,447.0,410.0,1.09024390243902,37.0,7.0,5.0,2440.0,73.9,2357.0,71.4,83.0,2.5,2019,,
