,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Quad 1 Wins,Quad 1 Losses
422,San Diego St.,MWC,Midwest,0.0,1.0,0.0,0.0,26.0,23.0,3.0,229.0,611.0,0.375,381.0,527.0,0.72299999,970.0,861.0,109.0,262.0,374.0,305.0,1.226229548,118.0,,,2000.0,74.07407379,1635.0,60.55555725,365.0,13.51851845,2021,1.0,3.0
423,Drexel,CAA,Midwest,1.0,1.0,0.0,0.0,18.0,12.0,6.0,138.0,371.0,0.37200000899999996,230.0,296.0,0.77700001,645.0,556.0,89.0,168.0,288.0,245.0,1.175510168,276.0,,,1358.0,71.47368622,1270.0,66.84210205,88.0,4.631578922,2021,0.0,0.0
424,Drake,MVC,West,1.0,0.0,1.0,0.0,28.0,25.0,3.0,204.0,552.0,0.370000005,305.0,428.0,0.713,1043.0,897.0,146.0,300.0,399.0,299.0,1.334448218,190.0,,,2245.0,77.41379547,1875.0,64.65517426,370.0,12.75862026,2021,1.0,2.0
425,Loyola Chicago,MVC,Midwest,0.0,1.0,2.0,0.0,27.0,24.0,3.0,201.0,546.0,0.368000001,331.0,458.0,0.72299999,914.0,775.0,139.0,201.0,442.0,334.0,1.3233532909999999,160.0,,,2002.0,71.5,1555.0,55.5357132,447.0,15.96428585,2021,2.0,2.0
426,Norfolk St.,MEAC,West,1.0,1.0,1.0,0.0,22.0,16.0,6.0,180.0,489.0,0.368000001,368.0,521.0,0.70599997,850.0,831.0,19.0,239.0,282.0,301.0,0.936877072,339.0,,,1730.0,75.21739197,1591.0,69.17391205,139.0,6.043478489,2021,0.0,0.0
427,Colorado,P12,East,0.0,0.0,0.0,0.0,29.0,22.0,7.0,224.0,611.0,0.367000014,419.0,510.0,0.8220000270000001,1050.0,923.0,127.0,296.0,397.0,333.0,1.192192197,72.0,,,2191.0,73.03333282,1898.0,63.26666641,293.0,9.766666412000001,2021,3.0,4.0
428,Creighton,BE,West,0.0,0.0,2.0,0.0,27.0,20.0,7.0,272.0,742.0,0.367000014,289.0,450.0,0.64200002,1011.0,1022.0,-11.0,237.0,445.0,311.0,1.4308681490000001,53.0,,,2155.0,76.9642868,1912.0,68.2857132,243.0,8.678571701000001,2021,7.0,3.0
429,UCLA,P12,East,1.0,0.0,5.0,0.0,25.0,17.0,8.0,173.0,471.0,0.367000014,349.0,484.0,0.721000016,910.0,800.0,110.0,257.0,354.0,290.0,1.220689654,63.0,,,1894.0,72.84615326,1781.0,68.5,113.0,4.346153736000001,2021,2.0,6.0
430,Georgetown,BE,East,1.0,1.0,0.0,0.0,24.0,13.0,11.0,208.0,568.0,0.365999997,334.0,443.0,0.754000008,1005.0,877.0,128.0,292.0,321.0,383.0,0.838120103,18.0,,,1784.0,71.36000061,1767.0,70.68000031,17.0,0.6800000070000001,2021,3.0,9.0
431,Ohio St.,B10,South,0.0,0.0,0.0,1.0,29.0,21.0,8.0,247.0,677.0,0.36500001,493.0,646.0,0.7630000109999999,1086.0,1009.0,77.0,292.0,391.0,313.0,1.249201298,6.0,,,2320.0,77.33333588,2129.0,70.96666718,191.0,6.3666667939999995,2021,9.0,7.0
432,Gonzaga,WCC,West,0.0,1.0,5.0,1.0,26.0,26.0,0.0,190.0,520.0,0.365,429.0,590.0,0.727,986.0,796.0,190.0,249.0,476.0,315.0,1.511111,86.0,,,2395.0,92.11539,1797.0,69.11539,598.0,23.0,2021,8.0,0.0
433,Houston,Amer,Midwest,0.0,1.0,4.0,1.0,26.0,24.0,2.0,252.0,699.0,0.361000001,366.0,494.0,0.7409999970000001,1110.0,864.0,246.0,387.0,381.0,293.0,1.3003412490000001,117.0,,,2096.0,77.62963104,1562.0,57.85185242,534.0,19.77777863,2021,2.0,1.0
434,Ohio,MAC,West,1.0,1.0,1.0,0.0,22.0,16.0,6.0,195.0,540.0,0.361000001,293.0,418.0,0.700999975,801.0,772.0,29.0,225.0,412.0,277.0,1.48736465,136.0,,,1860.0,80.86956787,1685.0,73.26087189,175.0,7.608695507,2021,0.0,0.0
435,Wisconsin,B10,South,1.0,0.0,1.0,1.0,28.0,17.0,11.0,248.0,689.0,0.360000014,349.0,455.0,0.76700002,972.0,1020.0,-48.0,241.0,386.0,259.0,1.490347505,10.0,,,2019.0,69.62068939,1865.0,64.31034851,154.0,5.3103446960000005,2021,5.0,10.0
436,Virginia Tech,ACC,South,1.0,0.0,0.0,1.0,20.0,15.0,5.0,173.0,485.0,0.35699999299999996,274.0,393.0,0.6970000270000001,738.0,672.0,66.0,198.0,302.0,245.0,1.232653022,74.0,,,1515.0,72.14286041,1376.0,65.52381134,139.0,6.619047642000001,2021,2.0,3.0
437,Texas,B12,East,0.0,1.0,0.0,0.0,25.0,19.0,6.0,225.0,631.0,0.35699999299999996,363.0,513.0,0.7080000040000001,1005.0,892.0,113.0,286.0,341.0,370.0,0.9216216209999999,19.0,,,1956.0,75.2307663,1789.0,68.80769348,167.0,6.423077106,2021,8.0,6.0
438,West Virginia,B12,Midwest,0.0,0.0,1.0,0.0,26.0,18.0,8.0,196.0,549.0,0.35699999299999996,469.0,654.0,0.717000008,1030.0,962.0,68.0,363.0,373.0,328.0,1.13719511,21.0,,,2087.0,77.29629517,1947.0,72.1111145,140.0,5.1851849560000005,2021,7.0,7.0
439,Florida,SEC,South,0.0,0.0,1.0,1.0,22.0,14.0,8.0,157.0,440.0,0.35699999299999996,334.0,441.0,0.7570000290000001,809.0,785.0,24.0,230.0,272.0,337.0,0.807121634,23.0,,,1701.0,73.95652008,1606.0,69.82608795,95.0,4.13043499,2021,5.0,5.0
440,Iona,MAAC,East,1.0,1.0,0.0,1.0,16.0,12.0,4.0,127.0,358.0,0.35499998899999996,255.0,343.0,0.7429999709999999,637.0,535.0,102.0,189.0,237.0,266.0,0.8909774420000001,309.0,,,1228.0,72.23529053,1121.0,65.94117737,107.0,6.294117451,2021,0.0,0.0
441,St. Bonaventure,A10,East,1.0,1.0,0.0,0.0,19.0,16.0,3.0,131.0,370.0,0.35400000200000004,237.0,323.0,0.734000027,745.0,659.0,86.0,229.0,296.0,221.0,1.339366555,90.0,,,1410.0,70.5,1207.0,60.34999847,203.0,10.14999962,2021,0.0,0.0
442,Eastern Washington,BSky,West,1.0,1.0,0.0,0.0,22.0,16.0,6.0,194.0,548.0,0.35400000200000004,325.0,413.0,0.787,815.0,793.0,22.0,175.0,347.0,264.0,1.314393997,220.0,,,1795.0,78.04347992,1597.0,69.43478394,198.0,8.608695984,2021,0.0,0.0
443,Abilene Christian,Slnd,East,1.0,1.0,1.0,1.0,26.0,23.0,3.0,214.0,606.0,0.352999985,384.0,571.0,0.672999978,980.0,912.0,68.0,309.0,491.0,374.0,1.312834263,293.0,,,2096.0,77.62963104,1634.0,60.51852036,462.0,17.11111069,2021,0.0,0.0
444,Winthrop,BSth,South,1.0,1.0,0.0,0.0,23.0,23.0,0.0,203.0,575.0,0.352999985,358.0,522.0,0.68599999,966.0,751.0,215.0,312.0,361.0,340.0,1.061764717,338.0,,,1909.0,79.54166412,1603.0,66.79166412,306.0,12.75,2021,0.0,0.0
445,Maryland,B10,East,1.0,0.0,1.0,1.0,28.0,16.0,12.0,234.0,663.0,0.352999985,363.0,517.0,0.702000022,965.0,972.0,-7.0,188.0,385.0,324.0,1.1882716420000001,24.0,,,1995.0,68.79310608,1884.0,64.96551514,111.0,3.827586174,2021,4.0,10.0
446,Oregon St.,P12,Midwest,1.0,1.0,3.0,0.0,28.0,17.0,11.0,203.0,575.0,0.352999985,422.0,557.0,0.7580000159999999,977.0,969.0,8.0,299.0,426.0,328.0,1.298780441,70.0,,,2049.0,70.65517426,1981.0,68.31034851,68.0,2.3448276519999998,2021,5.0,5.0
447,Villanova,BE,South,0.0,0.0,2.0,1.0,21.0,16.0,5.0,203.0,576.0,0.351999998,297.0,388.0,0.764999986,755.0,722.0,33.0,211.0,336.0,199.0,1.68844223,44.0,,,1662.0,75.54545593,1477.0,67.13636017,185.0,8.409090996,2021,5.0,3.0
448,UC Santa Barbara,BW,West,1.0,1.0,0.0,0.0,25.0,22.0,3.0,176.0,501.0,0.351000011,379.0,505.0,0.75,915.0,773.0,142.0,241.0,423.0,285.0,1.484210491,211.0,,,1989.0,76.5,1633.0,62.80769348,356.0,13.69230747,2021,0.0,0.0
449,Alabama,SEC,East,0.0,1.0,2.0,0.0,29.0,24.0,5.0,320.0,912.0,0.351000011,399.0,554.0,0.720000029,1215.0,1167.0,48.0,372.0,426.0,420.0,1.014285684,30.0,,,2387.0,79.56666565,2093.0,69.76667023,294.0,9.800000191,2021,8.0,4.0
450,Morehead St.,OVC,Midwest,1.0,1.0,0.0,0.0,29.0,23.0,6.0,197.0,562.0,0.351000011,392.0,575.0,0.6819999809999999,1125.0,928.0,197.0,309.0,382.0,459.0,0.832243979,183.0,,,2065.0,68.83333588,1902.0,63.40000153,163.0,5.433333397,2021,0.0,0.0
451,LSU,SEC,East,0.0,0.0,1.0,1.0,26.0,18.0,8.0,220.0,628.0,0.349999994,429.0,575.0,0.745999992,1034.0,1028.0,6.0,310.0,332.0,317.0,1.047318578,34.0,,,2217.0,82.1111145,2034.0,75.33333588,183.0,6.777777672000001,2021,5.0,8.0
452,Georgia Tech,ACC,Midwest,1.0,1.0,0.0,0.0,24.0,17.0,7.0,189.0,542.0,0.34900000700000006,309.0,425.0,0.7269999979999999,770.0,860.0,-90.0,204.0,401.0,278.0,1.4424459930000002,47.0,,,1888.0,75.51999664,1750.0,70.0,138.0,5.519999981000001,2021,3.0,6.0
453,USC,P12,West,0.0,0.0,3.0,0.0,29.0,22.0,7.0,183.0,526.0,0.348,409.0,632.0,0.647,1145.0,936.0,209.0,354.0,396.0,361.0,1.096953,67.0,,,2168.0,74.75862,1888.0,65.10345,280.0,9.655172,2021,3.0,4.0
454,Texas Tech,B12,South,0.0,0.0,1.0,1.0,26.0,17.0,9.0,168.0,485.0,0.34599998600000004,432.0,608.0,0.711000025,948.0,891.0,57.0,316.0,350.0,296.0,1.182432413,43.0,,,1972.0,73.03704071,1712.0,63.40740585,260.0,9.629630088999999,2021,4.0,10.0
455,Clemson,ACC,Midwest,0.0,0.0,0.0,0.0,22.0,16.0,6.0,192.0,555.0,0.34599998600000004,228.0,298.0,0.764999986,751.0,747.0,4.0,198.0,305.0,292.0,1.044520497,33.0,,,1502.0,65.30434418,1426.0,62.0,76.0,3.3043477539999997,2021,3.0,6.0
456,Kansas,B12,West,0.0,0.0,1.0,1.0,27.0,20.0,7.0,209.0,608.0,0.344000012,364.0,511.0,0.7120000120000001,1064.0,962.0,102.0,316.0,383.0,346.0,1.106936455,31.0,,,2047.0,73.10713959,1841.0,65.75,206.0,7.357142925,2021,7.0,8.0
457,Wichita St.,Amer,West,1.0,0.0,0.0,0.0,20.0,16.0,4.0,175.0,512.0,0.34200000799999997,317.0,460.0,0.68900001,799.0,830.0,-31.0,251.0,279.0,238.0,1.172268867,98.0,,,1520.0,72.38095093,1416.0,67.42857361,104.0,4.9523811339999995,2021,2.0,3.0
458,Arkansas,SEC,South,0.0,0.0,3.0,0.0,27.0,22.0,5.0,220.0,649.0,0.338999987,437.0,593.0,0.7369999890000001,1119.0,1000.0,119.0,334.0,419.0,368.0,1.138586998,57.0,,,2307.0,82.39286041,1979.0,70.67857361,328.0,11.71428585,2021,6.0,5.0
459,Tennessee,SEC,Midwest,0.0,0.0,0.0,1.0,25.0,18.0,7.0,173.0,512.0,0.33799999999999997,390.0,523.0,0.745999992,934.0,876.0,58.0,281.0,391.0,325.0,1.2030769590000001,50.0,,,1885.0,72.5,1644.0,63.23077011,241.0,9.269230842999999,2021,6.0,6.0
460,Oklahoma,B12,West,0.0,0.0,1.0,1.0,24.0,15.0,9.0,200.0,591.0,0.33799999999999997,329.0,442.0,0.7440000179999999,907.0,907.0,0.0,247.0,335.0,277.0,1.20938623,40.0,,,1869.0,74.76000214,1731.0,69.23999786,138.0,5.519999981000001,2021,5.0,9.0
461,Syracuse,ACC,Midwest,1.0,0.0,2.0,1.0,24.0,16.0,8.0,203.0,601.0,0.33799999999999997,341.0,435.0,0.7839999790000001,897.0,946.0,-49.0,273.0,382.0,279.0,1.3691756730000002,52.0,,,1896.0,75.83999634,1768.0,70.72000122,128.0,5.1199998860000004,2021,1.0,7.0
462,Oklahoma St.,B12,Midwest,0.0,0.0,1.0,0.0,27.0,20.0,7.0,179.0,529.0,0.33799999999999997,429.0,602.0,0.713,1081.0,994.0,87.0,309.0,370.0,446.0,0.8295964,15.0,,,2158.0,77.07142639,2041.0,72.89286041,117.0,4.178571224,2021,10.0,6.0
463,Mount St. Mary,NEC,East,1.0,1.0,0.0,0.0,21.0,12.0,9.0,146.0,433.0,0.337000012,240.0,354.0,0.6779999729999999,821.0,702.0,119.0,237.0,257.0,288.0,0.892361104,271.0,,,1402.0,63.72727203,1371.0,62.31818008,31.0,1.409090877,2021,0.0,0.0
464,Utah St.,MWC,South,1.0,0.0,0.0,1.0,27.0,20.0,7.0,181.0,538.0,0.335999995,369.0,508.0,0.7260000109999999,1142.0,853.0,289.0,353.0,456.0,381.0,1.196850419,115.0,,,2052.0,73.2857132,1743.0,62.25,309.0,11.03571415,2021,2.0,5.0
465,Connecticut,BE,East,0.0,0.0,0.0,0.0,21.0,15.0,6.0,148.0,440.0,0.335999995,286.0,391.0,0.7310000059999999,839.0,733.0,106.0,290.0,287.0,258.0,1.1124031540000001,45.0,,,1596.0,72.54545593,1422.0,64.63636017,174.0,7.909090996000001,2021,0.0,0.0
466,Purdue,B10,South,0.0,0.0,0.0,1.0,26.0,18.0,8.0,192.0,573.0,0.335000008,350.0,492.0,0.711000025,1015.0,848.0,167.0,294.0,386.0,339.0,1.138643026,13.0,,,1920.0,71.1111145,1790.0,66.29629517,130.0,4.8148150439999995,2021,6.0,7.0
467,Grand Canyon,WAC,West,1.0,1.0,0.0,0.0,22.0,17.0,5.0,156.0,470.0,0.331999987,290.0,423.0,0.68599999,921.0,695.0,226.0,240.0,371.0,301.0,1.232558131,275.0,,,1738.0,75.56521606,1405.0,61.08695602,333.0,14.47826099,2021,0.0,0.0
468,VCU,A10,West,1.0,0.0,0.0,1.0,25.0,19.0,6.0,168.0,510.0,0.328999996,378.0,497.0,0.760999978,890.0,905.0,-15.0,238.0,347.0,380.0,0.91315788,81.0,,,1864.0,71.69230652,1694.0,65.15384674,170.0,6.538461685,2021,2.0,5.0
469,Hartford,AE,South,1.0,1.0,0.0,0.0,22.0,15.0,7.0,174.0,532.0,0.326999992,255.0,358.0,0.7120000120000001,763.0,797.0,-34.0,187.0,253.0,291.0,0.86941582,206.0,,,1515.0,65.86956787,1455.0,63.26086807,60.0,2.608695745,2021,0.0,0.0
470,Appalachian St.,SB,West,1.0,1.0,0.0,0.0,27.0,17.0,10.0,227.0,701.0,0.32400000100000004,411.0,558.0,0.7369999890000001,1007.0,985.0,22.0,307.0,333.0,329.0,1.012158036,241.0,,,1986.0,70.92857361,1806.0,64.5,180.0,6.428571224,2021,0.0,0.0
471,Missouri,SEC,West,1.0,0.0,0.0,0.0,24.0,16.0,8.0,173.0,540.0,0.319999993,376.0,539.0,0.6980000140000001,892.0,884.0,8.0,248.0,330.0,336.0,0.9821428659999999,16.0,,,1841.0,73.63999939,1798.0,71.91999817,43.0,1.7200000290000002,2021,7.0,6.0
472,Michigan St.,B10,East,1.0,0.0,0.0,1.0,26.0,15.0,11.0,172.0,537.0,0.319999993,356.0,494.0,0.721000016,1015.0,926.0,89.0,294.0,428.0,352.0,1.2159091229999999,9.0,,,1864.0,69.03704071,1905.0,70.55555725,-41.0,-1.5185185669999999,2021,5.0,10.0
473,Cleveland St.,Horz,Midwest,1.0,1.0,0.0,0.0,25.0,19.0,6.0,166.0,520.0,0.319000006,324.0,484.0,0.66900003,910.0,918.0,-8.0,279.0,363.0,334.0,1.086826324,217.0,,,1858.0,71.46154022,1835.0,70.57691956,23.0,0.884615362,2021,0.0,0.0
474,North Carolina,ACC,South,0.0,0.0,0.0,1.0,27.0,18.0,9.0,157.0,496.0,0.317000002,410.0,614.0,0.667999983,1208.0,906.0,302.0,444.0,433.0,413.0,1.048426151,26.0,,,2119.0,75.67857361,1943.0,69.39286041,176.0,6.2857141489999995,2021,3.0,9.0
475,Rutgers,B10,Midwest,1.0,0.0,1.0,0.0,25.0,15.0,10.0,157.0,505.0,0.31099999,270.0,427.0,0.632000029,918.0,948.0,-30.0,254.0,359.0,294.0,1.221088409,7.0,,,1819.0,69.96154022,1774.0,68.2307663,45.0,1.7307692769999998,2021,4.0,9.0
476,UNC Greensboro,SC,East,1.0,1.0,0.0,0.0,28.0,21.0,7.0,221.0,736.0,0.300000012,308.0,451.0,0.6830000279999999,1142.0,1053.0,89.0,370.0,356.0,319.0,1.11598742,203.0,,,2135.0,73.62068939,1956.0,67.44827271,179.0,6.1724138260000005,2021,0.0,0.0
477,Texas Southern,SWAC,East,1.0,1.0,1.0,0.0,23.0,16.0,7.0,110.0,398.0,0.275999993,385.0,551.0,0.6990000009999999,998.0,853.0,145.0,294.0,298.0,384.0,0.776041687,231.0,,,1795.0,74.79166412,1672.0,69.66666412,123.0,5.125,2021,0.0,0.0
