,Cinderella,Number of Tournament Wins,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Region_East,Region_Midwest,Region_South,Region_West,Wins vs Top Teams,Losses vs Top Teams
0,1.0,0.0,0.06961963963093966,-1.297805455616965,1.618944566183779,-1.6359736351302403,-1.9133013592965284,0.12442971315092206,0.48825476044584265,0.19592471043940118,0.9570782856075275,-0.4154178360614059,-0.4541414638024573,0.003448923862535266,-0.19589050713960568,-1.4198108769609228,0.4438706128283982,-1.6448904574681285,1.7635512411840344,-1.0241953569024251,-1.8591882326545015,-0.3783444370984283,-0.6624588608267006,-1.3460920451191642,-1.3759898106019757,2014,0,0,1,0,-0.8137589182283629,-1.2462755006417563
1,1.0,0.0,0.06961963963093966,-0.7995315537816966,1.0232128474494862,-0.7075016972513016,-1.0675846497128954,0.837105841860491,-1.2232333702646634,-1.1810793248702853,-0.10671424602737217,-1.4575886452525957,-1.067249706421525,-0.6010324651111407,-1.7059066694241427,0.3343803526712824,1.2483249445517823,-0.6622002504605436,1.2443135499276416,-1.2578365029965703,-2.2743012360128736,-1.0150683009868438,-1.6962809620097832,-0.6539096408172177,-0.6736195437239452,2014,0,0,0,1,-0.8137589182283629,-0.8426633716819458
2,0.0,3.0,0.6746775986052851,1.6918379553946452,-1.3597140274876847,-1.171737666190771,-1.28747099420464,-0.18523414104005506,0.48825476044584265,0.9749155647003096,-1.6148555851183166,1.1478383777253789,-0.24977204959610141,1.7436226193928146,1.2261635486040845,0.725699934666159,-0.47283316053080704,1.061588167541238,-0.9991851538028109,0.26954889982784236,-0.4557109355857225,-0.6299838084555266,-1.7956869332773875,1.678745061680342,1.5241196784427957,2014,0,0,0,1,0.6259008723806072,-0.8426633716819458
3,1.0,0.0,0.06961963963093966,-0.5503946028640624,0.7253469880823399,0.44299613881607885,0.1333330778958634,0.9965061568757843,0.5222578358904223,0.6601717852009527,-0.5473119886027392,-0.1693497283357083,1.2122552981878292,-1.6268190645816212,-1.090171923638215,-0.07043300801307263,-0.24833427725916493,0.07187153080996696,-0.47994746254641796,-0.019887146826098875,-0.08013250397576611,0.23550312030297813,0.3514820461028638,-0.4670203916556921,-0.49236270065864896,2014,0,1,0,0,-0.45384397057612036,-0.03543911376232485
4,0.0,2.0,0.9772065780924578,0.1970162498888401,0.7253469880823399,0.543917001629007,0.18407608047088136,1.1526508209048802,1.1569819108559078,1.4942428008742485,-1.1091240671891542,1.3794318908789767,0.37119655510782607,1.3131585999721664,2.2817088270942465,0.887625278939901,0.6309530155547666,0.21964740722832699,-0.9502004659484342,0.7856517300059545,-0.040597932227349205,0.9561067746437596,0.2520760748352596,-0.17630378184887457,-0.333762962976511,2014,0,0,0,1,-0.09392902292387785,0.771785144157296
5,1.0,0.0,0.6746775986052851,-0.05212070102879409,0.7253469880823399,-1.333211046691456,-1.5073573386963846,-0.08064469511465858,2.607779796491304,2.792560891309096,-0.6542219316852812,1.7123475660372733,1.17295348776353,0.8002653002369263,1.5633516236773306,0.9550941723872934,0.10712228792093505,0.7189518019009329,-0.8816219029523068,1.5911906068380077,1.7384577964513863,1.8177809856544294,1.9618587806380505,-0.14169466163377725,-0.2431345414438618,2014,0,0,0,1,-0.45384397057612036,0.771785144157296
6,1.0,0.0,0.06961963963093966,-2.5434902102051358,3.1082738630195106,-0.6267650070009592,-0.39101128204598906,-0.8828238667395083,-0.9852118421526063,-0.8427297619084767,-0.5725756578703592,-0.9365032406570009,0.08036315796801195,-1.2787843254755653,0.14129756793364043,-1.1499353031713528,-1.7449934990701121,0.3862705991081623,0.16665041713135437,-1.3380416725512772,-2.41267223713233,-0.427909767820281,-0.7419836378407836,-1.879072496431663,-1.9197603397978693,2014,0,1,0,0,-0.8137589182283629,-0.8426633716819458
7,0.0,0.0,0.37214861911811237,0.9444271026417426,-0.7639823087533919,-0.9295275954397435,-0.7123836316877695,-1.029496165519829,0.3522424586675243,0.3690337891640475,-0.13725319729867336,0.19251513596678818,-0.171168428747503,0.4430717522070269,1.4167481127759192,-0.5292214834553417,-0.2670425175318018,-0.35404234551749314,-0.32319646141241254,-0.4836822577294023,-1.3254715140508804,-0.8282451313429373,-1.7559245447703467,0.5435659186251498,0.4818928308173311,2014,1,0,0,0,-0.09392902292387785,0.36817301519748563
8,1.0,0.0,0.37214861911811237,-0.5503946028640624,1.0232128474494862,-0.7075016972513016,-0.4079256162376617,-1.0984852144457955,0.44291732651973653,0.5814858403261134,-0.5496709646036876,1.04651621572068,0.6305885039082009,0.5896126949885241,1.2408238996942256,-1.4872797704083154,1.5850732694592455,-2.2429648566304667,1.8027389914675358,-0.02686150939607336,-0.5347800790825535,0.43376444319038887,0.2520760748352596,-0.8407988899787432,-0.9001905975555679,2014,1,0,0,0,-0.8137589182283629,-1.2462755006417563
9,0.0,0.0,0.6746775986052851,-0.05212070102879409,0.7253469880823399,-1.2322901838785278,-0.8815269736044962,-1.6227021829571477,1.780371627339867,1.6909576630613465,0.07989708189320288,0.8149227025670821,-0.013961187050306153,1.0475531411807029,0.7277116115392859,-0.9070472867607398,1.285741425097056,-1.66005118714199,-0.9208096532358082,0.008010303453799078,-0.8905912248183,0.6396512015734693,0.15267010356765545,-1.1453591478715996,-1.1947329675366773,2014,0,0,1,0,-0.45384397057612036,0.771785144157296
